timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
123709811,0.39,-0.39,0.75,0.79,0.61,0.15
123719753,0.39,-0.37,0.73,0.80,0.61,0.14
123729751,0.38,-0.35,0.72,0.80,0.61,0.16
123739835,0.37,-0.34,0.69,0.79,0.61,0.15
123749753,0.37,-0.33,0.68,0.79,0.61,0.15
123759752,0.37,-0.34,0.68,0.79,0.61,0.15
123769750,0.37,-0.35,0.69,0.79,0.61,0.15
123779752,0.37,-0.35,0.70,0.80,0.61,0.15
123789865,0.38,-0.34,0.69,0.79,0.61,0.15
123799751,0.39,-0.32,0.67,0.79,0.61,0.16
123809748,0.40,-0.33,0.66,0.80,0.61,0.16
123819751,0.39,-0.32,0.67,0.79,0.61,0.15
123829747,0.40,-0.32,0.66,0.79,0.61,0.16
123839835,0.41,-0.32,0.64,0.80,0.61,0.15
123849749,0.43,-0.30,0.63,0.80,0.60,0.16
123859751,0.43,-0.29,0.62,0.79,0.60,0.15
123869748,0.42,-0.29,0.60,0.80,0.60,0.16
123879752,0.41,-0.29,0.59,0.80,0.59,0.15
123889861,0.42,-0.29,0.59,0.79,0.60,0.15
123899750,0.44,-0.33,0.61,0.79,0.60,0.15
123911752,0.46,-0.36,0.64,0.80,0.60,0.16
123921751,0.48,-0.37,0.64,0.79,0.61,0.16
123931748,0.50,-0.37,0.63,0.79,0.60,0.15
123941826,0.49,-0.36,0.64,0.80,0.60,0.15
123951749,0.50,-0.33,0.62,0.80,0.60,0.15
123961748,0.50,-0.29,0.59,0.80,0.61,0.15
123971813,0.51,-0.26,0.57,0.80,0.61,0.15
123981784,0.52,-0.24,0.55,0.79,0.61,0.15
123991879,0.54,-0.23,0.52,0.80,0.60,0.15
124001748,0.55,-0.21,0.49,0.79,0.60,0.16
124011750,0.59,-0.21,0.48,0.79,0.61,0.15
124021751,0.61,-0.21,0.46,0.79,0.61,0.15
124031797,0.63,-0.21,0.46,0.80,0.61,0.16
