timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
2022362537,1.40,-0.33,0.45,0.95,-0.00,-0.45
2022372466,1.43,-0.21,0.41,0.95,-0.01,-0.45
2022382462,1.49,-0.19,0.34,0.95,-0.00,-0.45
2022392552,1.53,-0.18,0.29,0.96,-0.00,-0.45
2022402461,1.54,-0.16,0.26,0.95,-0.01,-0.46
2022412464,1.50,-0.13,0.28,0.96,-0.02,-0.45
2022422464,1.42,-0.10,0.27,0.96,-0.02,-0.45
2022432465,1.31,-0.09,0.31,0.95,-0.02,-0.45
2022442555,1.25,-0.12,0.29,0.96,-0.02,-0.44
2022452473,1.18,-0.09,0.38,0.96,-0.01,-0.44
2022462465,1.13,-0.07,0.33,0.97,-0.01,-0.43
2022472469,1.09,-0.09,0.31,0.96,-0.03,-0.45
2022482463,1.09,-0.09,0.31,0.96,-0.03,-0.45
2022492552,1.07,-0.13,0.30,0.97,-0.04,-0.45
2022502462,1.05,-0.15,0.26,0.97,-0.04,-0.45
2022512463,1.01,-0.17,0.23,0.96,-0.05,-0.47
2022522465,1.01,-0.18,0.21,0.97,-0.07,-0.47
2022532471,1.00,-0.21,0.21,0.98,-0.07,-0.47
2022542568,0.98,-0.25,0.20,0.98,-0.07,-0.47
2022552467,0.95,-0.29,0.23,1.01,-0.09,-0.48
2022564470,0.93,-0.24,0.11,1.05,-0.12,-0.54
2022574465,0.84,-0.23,0.13,1.05,-0.12,-0.54
2022584467,0.77,-0.22,0.16,1.08,-0.12,-0.52
2022594546,0.74,-0.15,0.05,1.11,-0.11,-0.51
2022604464,0.64,-0.11,0.06,1.13,-0.12,-0.52
2022614464,0.54,-0.07,0.02,1.08,-0.13,-0.46
2022624541,0.39,-0.05,0.01,0.95,-0.17,-0.45
2022634489,0.18,-0.04,0.02,0.83,-0.08,-0.31
2022644576,0.01,-0.03,-0.02,0.84,0.03,-0.13
2022654487,-0.11,-0.02,-0.05,0.95,0.06,0.08
2022664476,-0.16,-0.01,-0.09,0.94,0.16,0.06
2022674465,-0.20,0.03,-0.12,1.03,0.09,-0.02
2022684465,-0.04,0.06,-0.09,1.18,0.07,-0.07
2022694543,0.09,0.01,-0.06,1.11,0.13,-0.07
2022704461,0.07,-0.02,0.02,0.99,0.16,-0.22
2022714525,0.10,0.05,-0.05,0.82,0.23,-0.20
2022724467,0.30,0.22,-0.13,0.77,0.32,-0.28
2022734468,0.62,0.39,-0.12,0.57,0.35,-0.34
2022744577,1.09,0.51,-0.05,0.25,0.49,-0.40
2022754464,1.74,0.57,0.04,0.12,0.72,-0.44
2022766487,2.28,0.64,0.23,0.31,0.60,-0.20
2022776469,2.77,0.79,0.32,0.84,0.37,0.27
2022786497,3.45,1.01,0.23,1.21,0.28,0.52
2022796469,4.00,1.02,0.21,1.45,0.30,0.38
2022806464,4.00,0.77,-0.09,1.33,0.56,0.02
2022816466,4.00,0.37,-0.14,0.91,0.80,0.07
