timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
2113523661,0.07,0.07,0.32,0.17,0.26,0.33
2113533595,0.04,0.16,0.23,0.17,0.04,0.33
2113543686,0.02,0.24,0.16,0.15,0.07,0.41
2113553590,-0.02,0.29,0.10,-0.43,0.41,-0.14
2113563591,-0.04,0.30,0.09,0.34,-1.52,0.59
2113573592,-0.06,0.26,0.12,0.53,-1.04,1.46
2113583611,-0.04,0.17,0.17,0.12,0.04,-0.86
2113593693,-0.03,0.04,0.23,2.74,-1.15,-1.02
2113603589,-0.02,-0.11,0.38,2.39,-0.22,-1.64
2113613590,-0.03,-0.24,0.47,1.81,0.87,-1.92
2113623593,-0.03,-0.37,0.51,1.53,0.75,-1.46
2113633588,-0.10,-0.48,0.62,1.98,-0.03,-0.25
2113643677,-0.17,-0.54,0.66,2.20,-0.06,0.79
2113653588,-0.15,-0.52,0.68,2.03,-0.70,0.81
2113663592,-0.08,-0.50,0.80,2.04,-1.01,0.14
2113673592,0.19,-0.69,0.77,1.79,-0.85,-0.36
2113683597,0.55,-1.07,0.80,1.58,-0.53,-0.54
2113693678,0.85,-1.46,0.89,1.73,-0.09,-0.69
2113703594,1.05,-1.61,0.90,1.73,-0.09,-0.69
2113713590,1.05,-1.61,0.90,1.96,0.35,-0.80
2113725614,1.34,-1.09,0.58,1.39,0.06,-0.50
2113735591,1.28,-0.76,0.46,1.29,-0.33,-0.31
2113745674,1.05,-0.66,0.57,1.29,-0.65,-0.12
2113755588,0.86,-0.83,0.71,1.16,-0.91,-0.02
2113765590,0.92,-1.33,0.88,1.02,-0.80,0.11
2113775597,1.02,-1.93,1.02,1.02,-0.80,0.11
2113785671,0.99,-2.29,1.09,0.82,-0.69,0.05
2113795728,0.99,-2.29,1.09,0.78,-0.64,-0.10
2113805587,0.85,-2.27,1.02,0.80,-0.39,-0.23
2113815591,0.61,-1.90,0.85,0.89,-0.13,-0.37
2113825591,0.32,-1.40,0.66,1.05,-0.05,-0.34
2113835637,0.07,-0.96,0.50,1.04,0.06,-0.30
2113845702,-0.11,-0.61,0.43,0.88,0.34,-0.38
2113855592,-0.22,-0.35,0.36,0.79,0.62,-0.45
2113865589,-0.07,-0.14,0.32,0.65,0.76,-0.47
2113875595,0.02,-0.04,0.36,0.59,0.86,-0.54
2113885619,0.22,0.05,0.31,0.31,0.86,-0.55
2113895729,0.23,0.13,0.21,0.50,1.14,-0.81
2113905589,0.45,0.14,0.17,0.69,0.81,-0.59
2113915593,0.69,-0.12,0.26,0.59,0.74,-0.57
2113927599,0.93,-0.35,0.26,0.48,0.77,-0.75
2113937590,1.05,-0.59,0.30,0.43,0.75,-0.88
2113947590,0.99,-0.64,0.46,0.44,0.65,-0.97
2113957591,0.73,-0.43,0.41,0.38,0.51,-0.66
2113967591,0.52,-0.26,0.26,0.23,0.59,-0.27
2113977591,0.38,-0.07,0.11,0.18,0.65,-0.05
2113987667,0.28,0.04,0.12,-0.05,0.77,0.02
2113997627,0.29,-0.15,0.36,-0.33,0.79,0.12
2114007589,0.41,-0.62,0.74,-0.44,0.70,0.14
2114017589,0.47,-1.04,1.06,-0.22,0.79,0.14
2114027589,0.41,-1.22,1.28,0.20,0.94,0.05
2114037639,0.18,-1.12,1.23,0.54,1.06,-0.04
2114047609,-0.24,-0.75,0.96,0.87,1.04,-0.10
2114057589,-0.33,-0.47,0.56,1.14,0.96,-0.11
2114067592,-0.33,-0.31,0.29,1.23,0.83,-0.08
2114077600,-0.47,-0.23,0.27,1.12,0.62,0.03
2114087594,-0.55,-0.52,0.38,0.91,0.48,0.09
2114097634,-0.54,-1.05,0.57,0.65,0.25,0.03
2114107588,-0.62,-1.66,0.94,0.58,0.24,-0.12
2114117591,-0.62,-1.92,1.18,0.57,0.37,-0.26
2114131603,-0.61,-1.67,1.06,0.72,0.50,-0.11
2114141590,-0.64,-1.29,0.72,0.15,1.70,0.07
2114151590,-0.56,-0.94,0.35,1.01,-0.88,0.70
2114161600,-0.39,-0.62,0.09,0.59,-0.85,0.62
2114171596,-0.25,-0.47,0.01,1.64,-0.83,0.16
2114181592,-0.07,-0.64,0.07,2.04,-0.45,-0.18
2114191663,0.07,-0.95,0.16,2.38,-0.66,-0.84
2114201656,0.26,-1.52,0.36,1.71,-0.26,-1.27
2114211589,0.54,-1.92,0.49,0.98,-0.41,-0.78
2114221590,0.73,-2.09,0.62,1.32,-0.27,-0.52
2114231590,0.88,-2.09,0.58,1.84,0.20,-0.58
2114241627,1.07,-2.07,0.50,1.84,-0.06,-0.32
2114251607,1.33,-2.03,0.43,1.87,-0.18,-0.45
2114261590,1.61,-1.86,0.42,2.06,-0.38,-0.74
2114271602,1.87,-1.62,0.41,1.89,-0.46,-0.56
2114281599,2.00,-1.42,0.31,1.63,-0.45,-0.24
2114291591,1.95,-1.29,0.36,1.61,-0.35,-0.20
2114301622,1.89,-1.10,0.44,1.62,-0.30,-0.43
2114311617,1.85,-0.81,0.41,1.62,-0.30,-0.43
2114321599,1.72,-0.50,0.32,1.45,-0.43,-0.39
2114333591,1.49,-0.21,0.27,1.03,-0.62,-0.25
2114343689,1.21,0.02,0.25,1.05,-0.73,-0.42
2114353591,0.95,0.17,0.23,1.04,-0.78,-0.41
2114363591,0.72,0.25,0.25,1.02,-0.59,-0.38
2114373597,0.52,0.31,0.24,1.05,-0.25,-0.32
2114383590,0.37,0.34,0.23,1.05,-0.25,-0.32
2114393706,0.28,0.36,0.17,1.06,0.08,-0.30
2114403640,0.21,0.38,0.09,1.19,0.33,-0.32
2114413589,0.18,0.43,0.00,1.20,0.75,-0.41
2114423585,0.16,0.48,-0.06,1.07,1.12,-0.50
2114433584,0.14,0.50,-0.05,0.82,1.13,-0.50
2114443670,0.08,0.42,-0.01,0.64,1.00,-0.49
2114453637,0.12,0.27,0.05,0.43,1.07,-0.73
2114463582,0.12,0.27,0.05,0.70,1.32,-0.80
2114473612,0.16,-0.06,0.18,0.73,0.79,-0.61
2114483588,0.27,-0.62,0.37,0.47,0.42,-0.30
2114493606,0.37,-1.48,0.71,0.40,0.48,-0.48
2114503602,0.36,-1.93,1.10,0.24,0.47,-0.38
2114513612,0.17,-2.02,1.09,-0.09,0.48,-0.12
2114523584,-0.02,-2.07,1.00,-0.29,0.53,0.18
2114535586,-0.16,-1.87,0.79,-0.47,0.39,0.36
2114545613,-0.31,-1.45,0.64,-0.71,0.52,0.58
2114555586,-0.36,-1.21,0.68,-0.79,0.61,0.62
2114565582,-0.23,-1.09,0.54,-0.68,0.61,0.46
2114575592,-0.04,-1.07,0.39,-0.45,0.59,0.26
2114585595,-0.03,-1.25,0.47,-0.14,0.58,0.04
2114595704,-0.11,-1.47,0.47,0.19,0.60,-0.17
2114605621,-0.29,-1.82,0.57,0.47,0.58,-0.24
2114615589,-0.45,-2.19,0.76,0.82,0.57,-0.32
2114625586,-0.50,-2.32,0.90,1.05,0.64,-0.37
2114635583,-0.50,-2.06,0.85,1.03,0.41,-0.29
2114645678,-0.54,-1.55,0.71,0.94,0.14,-0.27
2114655588,-0.57,-1.07,0.53,0.81,0.37,-0.27
2114665582,-0.52,-0.76,0.40,0.59,0.79,0.04
2114675589,-0.37,-0.68,0.38,-0.29,3.48,-0.31
2114685589,-0.17,-0.66,0.32,2.26,2.42,0.71
2114695586,0.00,-0.65,0.30,1.22,-1.55,0.10
2114705631,0.25,-0.66,0.35,2.03,-2.39,-0.18
2114715585,0.48,-0.63,0.34,2.33,0.11,-0.18
2114725587,0.72,-0.71,0.33,2.06,-1.03,-0.62
2114737587,1.10,-0.89,0.27,1.09,-0.98,-0.86
2114747588,1.46,-0.95,0.21,1.39,-0.20,-1.18
2114757584,1.69,-0.90,0.17,2.16,-0.54,-1.05
2114767583,1.98,-0.97,0.14,2.20,0.00,-0.82
2114777594,2.17,-1.18,0.22,1.68,0.06,-0.33
2114787590,2.30,-1.24,0.22,1.69,-0.43,-0.23
2114797662,2.16,-1.10,0.07,2.05,-0.60,-0.35
2114807635,1.93,-1.10,0.29,2.05,-0.52,-0.33
2114817586,1.84,-1.16,0.47,1.92,-0.33,-0.33
2114827583,1.82,-1.18,0.50,1.86,-0.28,-0.21
2114837588,1.73,-1.11,0.49,1.71,-0.26,-0.17
2114847586,1.53,-0.88,0.46,1.64,-0.33,-0.25
2114857621,1.23,-0.58,0.49,1.64,-0.33,-0.25
2114867584,0.90,-0.31,0.48,1.50,-0.46,-0.06
2114877597,0.60,-0.09,0.45,1.29,-0.54,-0.02
2114887586,0.40,0.03,0.46,1.25,-0.69,-0.07
2114897584,0.18,0.09,0.39,1.13,-0.65,-0.10
2114907587,0.00,0.06,0.36,0.97,-0.29,-0.16
2114917623,-0.09,0.08,0.21,0.89,0.11,-0.32
2114927588,-0.09,0.07,0.11,0.93,0.64,-0.30
2114939589,-0.12,0.09,0.07,0.73,1.03,-0.40
2114949587,-0.09,-0.01,0.12,0.46,1.41,-0.25
2114959584,-0.16,-0.23,0.23,0.48,1.21,-0.64
2114969596,-0.04,-0.48,0.29,0.43,1.44,-0.86
2114979590,-0.07,-0.93,0.34,0.44,1.13,-0.40
2114989584,-0.01,-0.91,0.35,0.56,0.49,-0.31
2114999646,-0.21,-0.85,0.43,0.35,0.48,-0.33
2115009613,-0.21,-1.23,0.53,0.20,0.44,-0.19
2115019627,0.13,-1.96,0.86,0.13,0.27,-0.10
2115029584,0.20,-2.10,1.02,0.15,0.25,-0.11
2115039587,0.07,-1.62,0.76,-0.05,0.34,0.12
2115049643,0.02,-1.26,0.58,-0.32,0.57,0.23
2115059580,0.02,-1.26,0.58,-0.68,0.47,0.37
2115069595,0.04,-1.00,0.48,-0.51,0.51,-0.14
2115079592,0.20,-1.00,0.43,-0.67,0.77,-0.08
2115089585,0.26,-1.10,0.52,-0.55,1.03,-0.20
2115099585,0.20,-1.14,0.45,-0.26,1.12,-0.30
2115109585,0.10,-1.36,0.43,0.04,1.06,-0.30
2115119624,0.03,-1.75,0.61,0.37,0.98,-0.27
2115129619,-0.03,-2.05,0.81,0.70,0.87,-0.25
