timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1180281660,0.82,-0.58,0.71,1.23,-0.36,-0.65
1180291589,0.85,-0.49,0.67,1.24,-0.36,-0.57
1180301590,0.91,-0.44,0.64,1.18,-0.29,-0.43
1180311588,0.93,-0.41,0.62,1.31,-0.25,-0.35
1180321594,0.93,-0.40,0.59,1.61,-0.05,-0.17
1180331588,0.89,-0.43,0.56,1.79,0.12,-0.12
1180341588,0.83,-0.47,0.52,1.66,0.00,-0.29
1180351598,0.75,-0.49,0.53,1.64,-0.21,-0.40
1180361590,0.70,-0.51,0.51,1.37,-0.06,-0.29
1180371591,0.66,-0.54,0.49,1.02,0.18,-0.34
1180381591,0.61,-0.59,0.52,0.83,0.41,-0.43
1180391590,0.57,-0.62,0.52,0.79,0.56,-0.38
1180401592,0.54,-0.63,0.55,0.84,0.76,-0.30
1180411596,0.50,-0.63,0.59,0.75,0.86,-0.29
1180421593,0.46,-0.61,0.61,0.82,0.50,-0.25
1180431589,0.45,-0.60,0.63,0.83,0.45,-0.18
1180441588,0.45,-0.62,0.66,0.70,0.63,-0.11
1180451589,0.46,-0.66,0.68,0.58,0.61,-0.09
1180461591,0.50,-0.68,0.70,0.54,0.48,-0.09
1180471593,0.53,-0.71,0.70,0.54,0.48,-0.09
1180485591,0.54,-0.70,0.69,0.54,0.47,0.00
1180495676,0.56,-0.69,0.66,0.52,0.51,0.01
1180505589,0.56,-0.68,0.65,0.52,0.48,0.02
1180515598,0.55,-0.70,0.62,0.51,0.43,0.04
1180525592,0.53,-0.75,0.64,0.50,0.41,0.06
1180535589,0.51,-0.80,0.64,0.47,0.43,0.09
1180545759,0.49,-0.80,0.64,0.44,0.43,0.09
1180555621,0.45,-0.77,0.62,0.41,0.41,0.11
1180565590,0.40,-0.73,0.60,0.40,0.40,0.11
1180575595,0.36,-0.69,0.59,0.41,0.38,0.12
1180585589,0.35,-0.62,0.59,0.41,0.37,0.12
1180595672,0.34,-0.58,0.58,0.41,0.38,0.11
1180605591,0.34,-0.53,0.57,0.41,0.38,0.11
1180615608,0.35,-0.52,0.57,0.42,0.39,0.10
1180625644,0.38,-0.55,0.59,0.43,0.42,0.08
1180635591,0.40,-0.63,0.59,0.44,0.45,0.09
1180645704,0.45,-0.74,0.61,0.48,0.51,0.09
1180655589,0.50,-0.81,0.61,0.48,0.53,0.06
1180665590,0.54,-0.84,0.62,0.51,0.51,0.00
1180675599,0.55,-0.83,0.61,0.55,0.48,-0.07
1180687629,0.57,-0.77,0.58,0.62,0.50,-0.12
1180697601,0.58,-0.74,0.55,0.67,0.54,-0.16
1180707592,0.59,-0.71,0.54,0.73,0.49,-0.20
1180717604,0.59,-0.70,0.52,0.80,0.44,-0.26
1180727592,0.60,-0.73,0.53,0.93,1.41,-0.15
1180737588,0.60,-0.75,0.50,1.07,1.55,-0.36
1180747664,0.60,-0.79,0.49,1.75,0.26,-0.70
1180757622,0.61,-0.83,0.47,1.72,-0.44,-0.98
1180767594,0.64,-0.87,0.43,1.11,-0.05,-0.89
1180777590,0.69,-0.89,0.43,1.12,0.17,-0.70
1180787594,0.75,-0.95,0.43,1.45,-0.31,-0.66
1180797604,0.80,-1.03,0.43,1.94,-0.46,-0.66
1180807628,0.85,-1.10,0.46,1.97,0.01,-0.35
1180817612,0.91,-1.10,0.49,1.76,0.03,0.30
1180827592,0.95,-1.02,0.45,1.40,-0.00,0.31
1180837589,0.95,-1.02,0.45,1.05,-0.02,0.19
1180847591,0.97,-0.88,0.38,0.83,-0.14,-0.03
1180857595,0.94,-0.75,0.32,0.66,-0.27,-0.27
1180867591,0.89,-0.64,0.26,0.65,-0.27,-0.64
1180877625,0.83,-0.53,0.18,0.86,-0.09,-0.83
1180889598,0.82,-0.54,0.12,1.11,0.18,-0.82
1180899592,0.84,-0.59,0.14,1.19,0.32,-0.69
1180909592,0.84,-0.59,0.14,1.12,0.32,-0.51
1180919688,0.86,-0.65,0.16,1.04,0.11,-0.39
1180929586,0.88,-0.69,0.17,1.01,-0.06,-0.39
1180939580,0.87,-0.71,0.16,1.07,-0.10,-0.40
1180949660,0.90,-0.72,0.17,1.14,-0.06,-0.39
1180959616,0.91,-0.71,0.16,1.12,-0.01,-0.42
1180969689,0.89,-0.71,0.16,1.04,0.07,-0.42
1180979581,0.87,-0.69,0.15,1.00,0.02,-0.45
1180989605,0.85,-0.67,0.14,0.89,0.10,-0.44
1180999588,0.84,-0.63,0.12,0.81,0.23,-0.33
1181009630,0.81,-0.61,0.14,0.96,0.04,-0.41
1181019622,0.79,-0.58,0.12,0.84,0.06,-0.31
1181029599,0.75,-0.56,0.14,0.91,0.04,-0.36
1181039581,0.70,-0.57,0.16,0.90,-0.05,-0.34
1181049587,0.68,-0.57,0.18,0.91,-0.04,-0.36
1181059586,0.64,-0.50,0.14,0.91,-0.04,-0.36
1181069625,0.53,-0.43,0.12,0.92,0.07,-0.37
1181079590,0.47,-0.46,0.13,0.94,0.07,-0.35
1181091592,0.50,-0.54,0.14,1.00,0.19,-0.29
1181101587,0.52,-0.58,0.13,0.97,0.27,-0.25
1181111582,0.48,-0.52,0.13,0.96,0.26,-0.28
1181121586,0.43,-0.52,0.14,0.95,0.26,-0.29
1181131598,0.43,-0.52,0.16,0.95,0.26,-0.29
1181141584,0.44,-0.54,0.20,0.94,0.25,-0.29
1181151665,0.44,-0.56,0.20,0.94,0.20,-0.30
1181161614,0.46,-0.56,0.23,0.95,0.13,-0.31
1181171591,0.48,-0.56,0.26,0.98,0.09,-0.27
1181181608,0.49,-0.55,0.27,0.98,0.07,-0.25
1181191596,0.52,-0.55,0.25,0.98,0.06,-0.27
1181201632,0.55,-0.55,0.28,0.98,0.07,-0.29
1181211585,0.58,-0.51,0.28,0.99,0.08,-0.34
1181221586,0.59,-0.47,0.27,0.98,0.12,-0.37
1181231601,0.60,-0.43,0.27,0.96,0.14,-0.39
1181241587,0.60,-0.36,0.25,0.96,0.13,-0.41
1181251590,0.61,-0.30,0.24,0.96,0.11,-0.43
1181261615,0.62,-0.28,0.23,0.95,0.05,-0.45
1181271583,0.64,-0.28,0.25,0.95,-0.02,-0.47
1181281590,0.68,-0.33,0.28,0.97,-0.05,-0.50
1181293609,0.75,-0.41,0.30,0.98,-0.04,-0.50
1181303613,0.80,-0.47,0.33,1.00,-0.02,-0.48
1181313587,0.86,-0.51,0.36,1.01,-0.02,-0.48
1181323589,0.92,-0.52,0.40,1.01,-0.03,-0.48
1181333602,0.94,-0.52,0.41,1.01,-0.09,-0.48
1181343613,0.97,-0.52,0.43,1.02,-0.13,-0.48
1181353650,1.00,-0.51,0.43,1.02,-0.19,-0.49
1181363611,1.05,-0.51,0.45,1.00,-0.25,-0.52
1181373588,1.11,-0.51,0.43,1.04,-0.27,-0.53
1181383582,1.16,-0.51,0.40,1.07,-0.36,-0.54
1181393606,1.18,-0.47,0.39,1.16,-0.37,-0.65
1181403586,1.23,-0.46,0.38,1.21,-0.48,-0.62
1181413628,1.28,-0.43,0.37,1.18,-0.30,-0.46
1181423585,1.28,-0.39,0.37,1.17,-0.14,-0.23
1181433612,1.22,-0.38,0.37,1.23,-0.01,-0.18
1181443614,1.22,-0.38,0.37,1.52,0.07,-0.10
1181453584,1.11,-0.43,0.38,1.77,0.30,-0.05
1181463590,1.00,-0.42,0.38,1.70,0.22,-0.22
1181473618,0.91,-0.39,0.32,1.57,-0.13,-0.38
1181483589,0.84,-0.31,0.27,1.57,-0.26,-0.43
1181495621,0.84,-0.24,0.19,1.29,-0.08,-0.38
1181505583,0.88,-0.30,0.19,0.91,0.03,-0.35
1181515584,0.88,-0.30,0.19,0.88,0.21,-0.46
1181525584,0.93,-0.44,0.23,0.96,0.50,-0.38
