timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
182386814,0.86,-0.43,0.20,0.85,0.54,0.11
182396748,0.86,-0.44,0.22,0.84,0.55,0.11
182406751,0.85,-0.45,0.21,0.83,0.55,0.11
182416821,0.84,-0.46,0.21,0.82,0.57,0.11
182426747,0.83,-0.46,0.21,0.82,0.57,0.11
182436749,0.83,-0.47,0.22,0.83,0.57,0.11
182446750,0.82,-0.47,0.22,0.84,0.57,0.10
182456750,0.83,-0.46,0.23,0.84,0.57,0.09
182466867,0.83,-0.45,0.23,0.84,0.56,0.09
182476753,0.83,-0.42,0.23,0.84,0.57,0.10
182486750,0.84,-0.43,0.21,0.84,0.58,0.09
182496752,0.85,-0.41,0.22,0.82,0.59,0.11
182506751,0.86,-0.42,0.23,0.82,0.59,0.10
182516836,0.87,-0.43,0.23,0.84,0.58,0.12
182526751,0.87,-0.43,0.22,0.85,0.57,0.11
182536752,0.87,-0.43,0.22,0.85,0.56,0.12
182546752,0.87,-0.42,0.21,0.85,0.56,0.11
182556752,0.87,-0.42,0.20,0.84,0.57,0.11
182566871,0.88,-0.43,0.18,0.84,0.58,0.10
182576755,0.88,-0.43,0.18,0.86,0.55,0.10
182588753,0.89,-0.48,0.18,0.86,0.52,0.11
182598750,0.90,-0.50,0.18,0.86,0.52,0.12
182608749,0.89,-0.51,0.18,0.85,0.54,0.11
182618752,0.89,-0.52,0.17,0.85,0.54,0.10
182628750,0.89,-0.52,0.16,0.86,0.54,0.10
182638749,0.89,-0.52,0.16,0.86,0.52,0.11
182648813,0.88,-0.53,0.15,0.86,0.52,0.10
182658774,0.89,-0.51,0.16,0.86,0.52,0.11
182668774,0.88,-0.51,0.16,0.86,0.52,0.11
182678750,0.88,-0.50,0.14,0.86,0.51,0.10
182688751,0.87,-0.51,0.13,0.86,0.52,0.11
182698748,0.86,-0.48,0.14,0.86,0.52,0.11
182708796,0.86,-0.50,0.13,0.86,0.52,0.11
182718758,0.86,-0.49,0.13,0.86,0.54,0.11
182728747,0.87,-0.49,0.12,0.85,0.53,0.11
182738753,0.87,-0.48,0.11,0.86,0.53,0.12
182748751,0.86,-0.48,0.10,0.86,0.52,0.12
182758753,0.87,-0.48,0.11,0.86,0.51,0.11
182768798,0.87,-0.49,0.11,0.86,0.52,0.12
182778756,0.88,-0.49,0.11,0.86,0.51,0.11
182790865,0.89,-0.50,0.12,0.87,0.51,0.11
182800750,0.89,-0.52,0.13,0.87,0.51,0.12
182810752,0.89,-0.52,0.14,0.86,0.52,0.12
182820749,0.89,-0.52,0.14,0.87,0.52,0.12
182830751,0.89,-0.52,0.14,0.86,0.52,0.12
182840840,0.90,-0.52,0.14,0.86,0.52,0.12
182850808,0.91,-0.51,0.13,0.86,0.52,0.12
182860775,0.91,-0.50,0.13,0.86,0.52,0.12
182870772,0.92,-0.49,0.13,0.86,0.51,0.12
182880763,0.93,-0.47,0.12,0.86,0.51,0.12
182890867,0.92,-0.46,0.12,0.86,0.51,0.12
182900795,0.91,-0.45,0.12,0.86,0.51,0.12
182910749,0.93,-0.45,0.12,0.86,0.51,0.12
182920760,0.93,-0.43,0.11,0.87,0.52,0.12
182930747,0.93,-0.42,0.11,0.86,0.51,0.12
182940829,0.93,-0.42,0.10,0.87,0.50,0.12
182950787,0.93,-0.42,0.10,0.87,0.50,0.14
182960768,0.93,-0.42,0.11,0.87,0.50,0.12
182970757,0.92,-0.40,0.10,0.87,0.50,0.12
182980762,0.93,-0.40,0.10,0.87,0.51,0.12
182992765,0.93,-0.38,0.10,0.87,0.51,0.12
183002754,0.94,-0.37,0.09,0.87,0.51,0.12
183012749,0.93,-0.38,0.08,0.86,0.52,0.12
183022750,0.93,-0.38,0.08,0.86,0.52,0.13
183032750,0.95,-0.38,0.07,0.86,0.52,0.12
183042751,0.94,-0.38,0.07,0.87,0.52,0.14
183052817,0.95,-0.39,0.09,0.87,0.52,0.14
183062778,0.95,-0.41,0.09,0.87,0.51,0.12
183072751,0.96,-0.43,0.09,0.87,0.50,0.13
183082752,0.96,-0.45,0.09,0.87,0.50,0.13
183092762,0.94,-0.45,0.08,0.87,0.51,0.12
183102750,0.93,-0.45,0.08,0.86,0.51,0.12
183112756,0.94,-0.46,0.08,0.87,0.51,0.12
183122805,0.93,-0.47,0.09,0.86,0.52,0.13
183132752,0.92,-0.48,0.07,0.86,0.52,0.13
183142751,0.92,-0.48,0.07,0.86,0.51,0.13
183152752,0.93,-0.48,0.07,0.86,0.52,0.13
183162751,0.93,-0.49,0.08,0.86,0.52,0.13
183172752,0.93,-0.48,0.08,0.86,0.52,0.14
183182793,0.92,-0.48,0.08,0.86,0.52,0.13
183194765,0.92,-0.45,0.06,0.86,0.52,0.14
183204749,0.93,-0.44,0.06,0.86,0.52,0.13
183214842,0.93,-0.44,0.06,0.86,0.51,0.14
183224750,0.93,-0.43,0.05,0.86,0.52,0.13
183234749,0.94,-0.44,0.06,0.86,0.52,0.14
183244753,0.94,-0.44,0.06,0.86,0.52,0.13
183254818,0.93,-0.44,0.06,0.86,0.51,0.13
183264872,0.93,-0.43,0.07,0.87,0.51,0.14
183274753,0.92,-0.43,0.07,0.86,0.51,0.14
183284760,0.92,-0.42,0.07,0.86,0.52,0.14
183294776,0.93,-0.41,0.06,0.86,0.52,0.14
183304816,0.94,-0.41,0.07,0.86,0.52,0.14
183314779,0.95,-0.41,0.06,0.87,0.51,0.13
183324750,0.95,-0.40,0.07,0.86,0.51,0.12
183334746,0.93,-0.40,0.06,0.86,0.51,0.12
183344749,0.94,-0.39,0.06,0.86,0.51,0.13
183354746,0.95,-0.40,0.06,0.86,0.52,0.14
183364761,0.95,-0.41,0.06,0.86,0.52,0.13
183374778,0.94,-0.39,0.05,0.85,0.51,0.13
183384752,0.93,-0.40,0.06,0.86,0.51,0.13
183396770,0.92,-0.40,0.05,0.86,0.51,0.14
183406747,0.93,-0.40,0.07,0.86,0.52,0.13
183416755,0.93,-0.40,0.06,0.86,0.52,0.13
183426748,0.92,-0.41,0.07,0.86,0.51,0.13
183436744,0.93,-0.41,0.09,0.86,0.52,0.13
183446746,0.93,-0.41,0.08,0.86,0.52,0.13
183456809,0.92,-0.41,0.08,0.86,0.52,0.13
183466801,0.93,-0.43,0.08,0.86,0.52,0.12
183476741,0.92,-0.42,0.09,0.86,0.52,0.13
183486764,0.93,-0.42,0.08,0.85,0.53,0.14
183496758,0.94,-0.43,0.08,0.85,0.53,0.13
183506789,0.93,-0.42,0.08,0.85,0.52,0.14
183516758,0.91,-0.42,0.07,0.86,0.51,0.12
183526762,0.93,-0.42,0.06,0.87,0.52,0.12
183536743,0.94,-0.42,0.08,0.86,0.53,0.12
183546744,0.93,-0.42,0.07,0.86,0.54,0.12
183556750,0.95,-0.41,0.07,0.86,0.53,0.13
183566801,0.94,-0.41,0.08,0.85,0.53,0.12
183576744,0.93,-0.42,0.09,0.85,0.53,0.12
183586767,0.93,-0.41,0.06,0.85,0.54,0.12
183598768,0.93,-0.41,0.07,0.85,0.54,0.13
183608749,0.92,-0.41,0.07,0.85,0.53,0.12
183618747,0.93,-0.42,0.07,0.85,0.54,0.12
183628745,0.92,-0.43,0.07,0.85,0.54,0.12
183638747,0.93,-0.42,0.09,0.86,0.54,0.13
183648759,0.93,-0.43,0.08,0.85,0.54,0.12
183658817,0.94,-0.43,0.07,0.85,0.54,0.12
183668784,0.92,-0.43,0.07,0.85,0.54,0.13
183678744,0.93,-0.43,0.07,0.84,0.55,0.12
183688749,0.92,-0.43,0.08,0.85,0.55,0.12
183698781,0.91,-0.43,0.08,0.85,0.55,0.12
183708738,0.92,-0.43,0.09,0.85,0.55,0.12
183718786,0.92,-0.43,0.09,0.85,0.55,0.12
183728748,0.92,-0.42,0.09,0.84,0.55,0.12
183738747,0.92,-0.44,0.08,0.84,0.55,0.12
183748746,0.92,-0.42,0.07,0.84,0.55,0.12
