timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
672174367,0.89,-0.34,0.14,0.75,0.68,0.15
672184294,0.90,-0.32,0.13,0.75,0.69,0.14
672194289,0.91,-0.29,0.12,0.74,0.69,0.13
672204301,0.91,-0.29,0.13,0.74,0.69,0.12
672214291,0.93,-0.28,0.13,0.74,0.69,0.12
672224295,0.96,-0.27,0.13,0.74,0.69,0.12
672234291,0.96,-0.24,0.12,0.74,0.69,0.11
672244295,0.96,-0.24,0.14,0.73,0.69,0.11
672254297,0.97,-0.23,0.14,0.73,0.70,0.10
672264291,0.99,-0.23,0.14,0.74,0.70,0.11
672274296,1.00,-0.23,0.14,0.74,0.71,0.09
672284291,1.00,-0.22,0.14,0.75,0.71,0.09
672294293,1.00,-0.21,0.14,0.75,0.71,0.09
672304315,1.01,-0.21,0.15,0.75,0.70,0.08
672314290,1.01,-0.19,0.15,0.75,0.71,0.08
672324295,1.02,-0.20,0.14,0.75,0.72,0.07
672334292,1.02,-0.20,0.14,0.75,0.73,0.08
672344296,1.01,-0.20,0.14,0.75,0.72,0.07
672354305,1.01,-0.21,0.13,0.74,0.71,0.07
672364292,1.01,-0.21,0.12,0.73,0.72,0.06
672376299,1.00,-0.20,0.12,0.72,0.72,0.07
672386294,1.00,-0.22,0.11,0.71,0.72,0.06
672396388,0.99,-0.22,0.12,0.73,0.72,0.05
672406316,0.98,-0.22,0.12,0.72,0.72,0.06
672416291,0.97,-0.23,0.12,0.73,0.71,0.05
672426293,0.97,-0.23,0.12,0.71,0.72,0.05
672436357,0.96,-0.25,0.13,0.70,0.73,0.06
672446409,0.97,-0.25,0.14,0.70,0.73,0.05
672456291,0.97,-0.26,0.13,0.69,0.74,0.05
672466293,0.96,-0.26,0.13,0.70,0.74,0.03
672476294,0.97,-0.26,0.13,0.70,0.73,0.04
672486292,0.96,-0.27,0.13,0.71,0.72,0.05
672496412,0.96,-0.27,0.14,0.71,0.72,0.03
672506290,0.96,-0.27,0.13,0.70,0.73,0.02
672516309,0.95,-0.27,0.13,0.70,0.75,0.01
672526291,0.95,-0.27,0.13,0.69,0.73,0.02
672536294,0.96,-0.27,0.12,0.70,0.73,0.01
672546375,0.96,-0.26,0.11,0.69,0.72,0.01
672556293,0.96,-0.26,0.13,0.70,0.73,0.00
672566291,0.96,-0.27,0.13,0.70,0.73,0.00
672578335,0.95,-0.25,0.14,0.69,0.74,0.00
672588290,0.96,-0.25,0.13,0.69,0.73,0.00
672598295,0.96,-0.25,0.13,0.71,0.71,-0.01
672608293,0.97,-0.25,0.12,0.71,0.72,-0.03
672618297,0.96,-0.23,0.13,0.72,0.74,-0.04
672628298,0.97,-0.22,0.14,0.71,0.75,-0.05
672638365,0.98,-0.23,0.14,0.72,0.75,-0.06
672648331,0.98,-0.22,0.13,0.73,0.74,-0.07
672658291,0.98,-0.21,0.13,0.73,0.75,-0.08
672668292,0.98,-0.21,0.14,0.73,0.75,-0.09
672678295,0.99,-0.19,0.16,0.71,0.76,-0.09
672688335,0.98,-0.18,0.16,0.71,0.76,-0.09
672698298,0.99,-0.18,0.15,0.71,0.76,-0.09
672708291,0.99,-0.18,0.13,0.71,0.76,-0.07
672718304,0.99,-0.18,0.12,0.71,0.77,-0.07
672728295,0.99,-0.19,0.11,0.69,0.78,-0.07
672738290,0.99,-0.17,0.11,0.69,0.78,-0.05
672748331,0.98,-0.17,0.09,0.68,0.78,-0.04
672758291,0.98,-0.19,0.11,0.68,0.77,-0.03
672768291,0.98,-0.21,0.11,0.67,0.78,-0.02
672780301,0.98,-0.22,0.12,0.68,0.79,0.00
672790292,0.97,-0.23,0.11,0.69,0.80,0.01
672800293,0.96,-0.23,0.10,0.70,0.76,0.05
672810290,0.96,-0.23,0.10,0.73,0.74,0.10
672820396,0.96,-0.23,0.10,0.73,0.76,0.16
