timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
2804236563,0.75,-0.41,0.62,0.96,0.03,-0.41
2804246449,0.64,-0.39,0.57,0.96,0.04,-0.40
2804256445,0.61,-0.16,0.51,0.96,0.02,-0.40
2804266464,0.66,-0.08,0.45,0.96,0.04,-0.41
2804276447,0.66,-0.07,0.46,0.96,0.04,-0.41
2804286534,0.67,-0.06,0.43,0.96,0.04,-0.40
2804296448,0.68,-0.03,0.42,0.96,0.04,-0.41
2804306447,0.70,0.00,0.38,0.95,0.05,-0.41
2804316503,0.72,0.02,0.35,0.96,0.04,-0.41
2804326448,0.73,0.01,0.34,0.96,0.04,-0.40
2804336527,0.76,-0.04,0.34,0.95,0.04,-0.40
2804346448,0.79,-0.05,0.33,0.96,0.04,-0.39
2804356448,0.80,-0.04,0.34,0.96,0.04,-0.39
2804366459,0.83,-0.02,0.32,0.96,0.05,-0.39
2804376450,0.84,0.02,0.29,0.96,0.04,-0.39
2804386560,0.86,0.07,0.24,0.95,0.04,-0.39
2804396447,0.88,0.13,0.18,0.96,0.06,-0.39
2804406447,0.93,0.19,0.16,0.96,0.05,-0.39
2804416450,1.00,0.24,0.15,0.96,0.05,-0.38
2804426449,1.08,0.28,0.15,0.97,0.05,-0.37
2804438452,1.13,0.28,0.16,0.96,0.05,-0.36
2804448448,1.15,0.25,0.15,0.96,0.05,-0.37
2804458449,1.18,0.23,0.13,0.97,0.05,-0.38
2804468454,1.22,0.25,0.09,0.97,0.05,-0.39
2804478447,1.25,0.27,0.03,0.96,0.05,-0.38
2804488463,1.27,0.32,0.00,0.95,0.07,-0.38
2804498510,1.32,0.33,-0.02,0.96,0.08,-0.39
2804508478,1.34,0.27,-0.04,0.97,0.06,-0.39
2804518456,1.35,0.17,-0.02,0.98,0.05,-0.39
2804528446,1.35,0.07,-0.00,0.98,0.05,-0.39
2804538446,1.34,0.02,0.02,0.97,0.05,-0.38
2804548447,1.33,0.01,0.04,0.98,0.07,-0.37
2804558513,1.34,0.02,0.05,0.98,0.06,-0.37
2804568463,1.36,0.08,0.04,0.96,0.05,-0.36
2804578449,1.39,0.09,0.02,0.95,0.04,-0.35
2804588448,1.45,0.02,0.02,0.96,0.02,-0.36
2804598450,1.52,-0.09,0.04,0.96,0.02,-0.36
2804608447,1.55,-0.20,0.11,0.96,0.01,-0.37
2804618482,1.55,-0.30,0.18,0.97,0.03,-0.39
2804628448,1.51,-0.38,0.22,0.99,0.04,-0.39
2804640468,1.44,-0.39,0.26,0.99,0.02,-0.38
2804650449,1.34,-0.30,0.28,1.00,-0.02,-0.36
2804660538,1.24,-0.22,0.27,1.00,-0.02,-0.36
2804670449,1.12,-0.15,0.23,1.01,-0.09,-0.36
2804680447,1.02,-0.11,0.16,1.03,-0.13,-0.38
2804690455,0.96,-0.11,0.12,1.06,-0.20,-0.39
2804700519,0.93,-0.17,0.09,1.07,-0.20,-0.38
2804710575,0.87,-0.26,0.09,1.08,-0.18,-0.39
2804720446,0.79,-0.32,0.11,1.10,-0.19,-0.41
2804730452,0.70,-0.36,0.14,1.12,-0.07,-0.32
2804740447,0.57,-0.36,0.16,1.17,0.21,-0.27
2804750450,0.57,-0.36,0.16,1.17,0.30,-0.21
2804760535,0.48,-0.32,0.13,1.08,0.28,-0.22
2804770491,0.37,-0.27,0.11,0.96,0.26,-0.28
2804780447,0.27,-0.23,0.07,0.98,0.24,-0.38
2804790455,0.20,-0.24,0.05,1.03,0.22,-0.30
2804800465,0.14,-0.26,0.09,1.05,0.28,-0.32
2804810545,0.08,-0.30,0.12,1.09,0.25,-0.38
2804820447,0.03,-0.36,0.14,1.04,0.32,-0.34
2804830447,-0.04,-0.39,0.15,0.93,0.34,-0.22
2804842492,-0.09,-0.36,0.14,0.80,0.35,-0.18
2804852447,-0.11,-0.28,0.11,0.68,0.38,-0.07
2804862560,-0.08,-0.19,0.05,0.55,0.48,0.00
2804872449,-0.02,-0.09,0.01,0.43,0.55,0.05
2804882451,0.03,-0.02,-0.03,0.35,0.64,0.07
2804892447,0.07,0.07,-0.05,0.21,0.64,0.06
2804902529,0.14,0.12,-0.05,0.04,0.67,0.02
2804912579,0.26,0.13,-0.03,-0.07,0.67,-0.12
2804922450,0.46,0.11,-0.02,-0.03,0.73,-0.36
2804932447,0.73,0.06,0.00,0.26,0.78,-0.50
2804942447,1.00,0.02,0.04,0.75,0.72,-0.64
2804952452,1.23,0.03,0.05,1.07,0.54,-0.65
2804962587,1.40,0.10,0.07,1.14,0.55,-0.41
2804972451,1.52,0.23,0.17,1.38,0.52,-0.10
2804982448,1.66,0.30,0.27,1.75,0.46,0.14
2804992452,1.66,0.29,0.36,1.94,0.34,0.21
2805002445,1.58,0.23,0.43,1.72,0.39,0.11
2805012519,1.55,0.20,0.56,1.32,0.69,-0.18
2805022484,1.79,0.16,0.73,0.92,0.78,-0.36
2805032445,2.29,0.09,0.82,0.57,0.79,-0.38
2805044461,2.88,-0.02,0.98,0.39,0.87,-0.29
2805054449,3.32,-0.08,1.12,0.41,0.77,-0.13
2805064450,3.43,-0.11,1.21,0.44,0.61,0.05
2805074453,3.38,-0.04,1.21,0.66,0.59,0.17
2805084446,3.50,0.09,1.19,0.87,0.57,0.17
2805094441,3.57,0.22,1.20,0.92,0.69,0.11
2805104527,3.47,0.19,1.27,1.01,0.79,-0.01
2805114476,3.38,-0.04,1.37,1.01,0.83,-0.10
2805124438,3.42,-0.30,1.52,1.01,0.83,-0.10
2805134441,3.52,-0.55,1.66,0.97,0.78,-0.16
2805144443,3.82,-0.69,1.66,0.84,0.79,-0.12
2805154489,3.91,-0.78,1.57,0.76,0.80,-0.01
2805164453,4.00,-0.81,1.49,0.71,0.75,0.13
2805174463,4.00,-0.74,1.42,0.64,0.69,0.27
2805184441,3.92,-0.66,1.31,0.62,0.72,0.36
2805194447,3.71,-0.61,1.29,0.77,0.73,0.38
2805204455,3.41,-0.30,1.16,0.84,0.76,0.34
2805214485,3.00,-0.07,0.93,1.02,0.88,0.14
2805224443,2.65,0.05,0.62,1.27,0.95,-0.06
2805234449,2.17,0.08,0.51,1.31,1.08,-0.14
2805246449,1.80,-0.25,0.45,1.31,0.98,-0.14
2805256443,1.59,-0.71,0.55,1.38,1.09,-0.11
2805266445,1.41,-0.83,0.55,1.48,1.18,0.06
2805276447,1.12,-0.63,0.38,1.70,1.27,0.16
2805286460,0.82,-0.27,0.04,2.12,1.20,0.08
2805296441,0.45,0.23,-0.30,2.72,0.76,-0.10
2805306524,-0.01,0.74,-0.46,3.21,-0.03,-0.34
2805316555,-0.21,0.49,-0.51,4.00,-1.06,-0.79
2805326444,-0.47,-0.06,-0.35,3.84,-1.04,-0.84
2805336457,-0.77,-0.36,-0.10,4.00,-0.33,-1.96
2805346444,-0.84,-0.34,-0.19,2.27,4.00,-2.45
2805356443,-0.84,-0.34,-0.19,0.38,4.00,-0.70
2805366462,-0.70,0.01,-0.50,-0.73,0.68,-0.19
2805376497,-0.29,0.59,-0.96,0.92,-0.38,-1.01
2805386475,0.17,1.02,-1.41,0.89,0.68,-0.71
2805396443,0.19,0.93,-1.53,-0.28,-0.12,0.07
2805406441,-0.05,0.91,-1.37,0.29,-0.73,-0.39
2805416443,-0.20,0.64,-1.04,0.64,-0.93,-0.29
2805426444,-0.21,0.40,-0.75,0.54,-1.07,-0.11
2805436492,-0.37,0.47,-0.62,0.20,-1.45,0.01
2805448445,-0.57,0.57,-0.59,-0.11,-1.84,-0.00
2805458442,-0.43,0.30,-0.51,-0.57,-1.61,0.02
2805468445,0.03,-0.11,-0.44,-0.95,-1.05,0.03
2805478449,0.57,-0.20,-0.29,-0.85,-0.73,-0.07
2805488445,0.84,-0.02,-0.24,-0.41,-0.62,-0.26
2805498442,0.73,0.22,-0.25,-0.19,-0.23,-0.52
2805508530,0.55,0.38,-0.18,0.08,0.33,-0.70
2805518490,0.65,0.49,-0.09,0.31,0.66,-0.55
2805528443,0.62,0.60,0.01,0.31,0.77,-0.21
2805538440,0.43,0.78,0.05,0.19,0.79,0.08
2805548436,0.30,0.73,0.13,0.17,0.50,0.17
2805558442,0.39,0.44,0.12,0.23,-0.06,0.28
2805568484,0.47,0.07,0.19,0.32,-0.65,0.34
2805578446,0.48,-0.15,0.23,0.32,-0.65,0.34
2805588442,0.46,-0.30,0.30,0.32,-1.02,0.29
2805598443,0.36,-0.30,0.37,0.19,-1.09,0.29
2805608442,0.23,-0.06,0.32,0.19,-0.93,0.22
2805618464,0.18,0.17,0.21,0.16,-0.73,0.16
2805628485,0.31,0.29,0.20,0.08,-0.50,0.16
2805638445,-0.21,0.15,0.09,0.07,-0.26,0.12
2805650446,-0.10,0.20,0.07,0.07,-0.03,0.10
2805660462,0.14,0.06,-0.02,0.07,0.14,0.04
2805670444,0.02,0.18,-0.06,0.08,0.24,-0.00
2805680448,-0.07,-0.12,-0.04,0.12,0.24,-0.05
2805690441,-0.07,-0.16,0.02,0.16,0.21,-0.18
2805700445,-0.05,-0.06,0.12,0.23,0.18,-0.27
2805710522,0.04,0.16,-0.11,0.21,0.12,-0.29
