timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1490299664,0.19,0.22,0.85,0.11,0.67,-0.42
1490309590,0.25,0.20,0.86,0.11,0.67,-0.42
1490319677,0.29,0.11,0.95,0.09,0.72,-0.04
1490329590,0.42,0.00,0.97,0.19,0.83,0.34
1490339590,0.54,-0.04,0.91,0.32,0.79,0.63
1490349588,0.59,-0.11,0.88,0.48,0.80,0.66
1490359589,0.57,-0.21,0.80,0.67,0.76,0.50
1490369665,0.52,-0.26,0.75,0.75,0.71,0.34
1490379610,0.48,-0.28,0.66,0.83,0.71,0.15
1490389591,0.48,-0.30,0.59,0.86,0.79,-0.09
1490399590,0.40,-0.27,0.54,1.01,0.78,-0.26
1490409587,0.26,-0.21,0.55,1.17,0.83,-0.22
1490419672,0.04,-0.17,0.54,1.18,0.94,-0.11
1490429590,-0.19,-0.19,0.57,1.01,0.91,-0.02
1490439587,-0.31,-0.31,0.53,0.70,0.76,0.00
1490449587,-0.32,-0.65,0.59,0.38,0.48,-0.09
1490459589,-0.25,-1.12,0.72,0.18,0.18,-0.20
1490469670,-0.20,-1.45,0.94,-0.05,0.00,-0.10
1490479612,-0.21,-1.36,0.99,-0.09,0.03,0.01
1490489589,-0.23,-1.02,0.86,-0.12,1.11,0.30
1490501609,-0.24,-0.75,0.71,0.50,-0.80,0.24
1490511592,-0.27,-0.59,0.62,-0.04,-2.34,-0.09
1490521588,-0.29,-0.70,0.53,1.60,-0.41,0.20
1490531589,-0.32,-1.04,0.52,1.93,-0.40,-0.16
1490541591,-0.35,-1.48,0.57,2.04,-1.11,-1.09
1490551590,-0.34,-1.92,0.65,2.38,-0.57,-2.07
1490561658,-0.29,-2.27,0.65,1.60,-0.54,-1.09
1490571622,-0.21,-2.43,0.54,2.05,-0.09,-0.16
1490581618,-0.07,-2.39,0.39,2.69,0.32,-0.06
1490591589,0.07,-2.39,0.28,2.43,-0.06,-0.04
1490601592,0.11,-2.38,0.16,1.87,-0.57,-0.02
1490611591,0.12,-2.41,-0.03,1.62,-0.61,-0.36
1490621647,0.30,-2.57,-0.14,1.61,-0.40,-0.53
1490631588,0.64,-2.82,-0.03,1.75,-0.07,-0.73
1490641589,1.06,-2.79,0.09,1.77,0.11,-0.81
1490651592,1.40,-2.46,0.11,1.54,0.16,-0.81
1490661589,1.45,-1.83,0.02,1.29,-0.20,-0.64
1490671627,1.25,-1.13,-0.00,1.16,-0.44,-0.43
1490681611,1.04,-0.52,0.05,1.14,-0.56,-0.27
1490691589,0.91,-0.07,0.23,1.04,-0.74,-0.14
1490703603,0.78,0.21,0.46,1.01,-0.73,-0.24
1490713595,0.62,0.30,0.67,0.96,-0.55,-0.23
1490723599,0.52,0.29,0.72,0.93,-0.16,-0.14
1490733588,0.52,0.39,0.55,0.80,0.35,-0.14
1490743678,0.61,0.58,0.24,0.81,0.72,-0.27
1490753593,0.57,0.81,0.02,0.87,0.91,-0.39
1490763653,0.60,1.00,-0.24,0.86,1.11,-0.31
1490773629,0.47,1.11,-0.25,0.72,1.32,-0.50
1490783615,0.37,0.98,-0.23,0.72,1.32,-0.50
1490793696,0.37,0.98,-0.23,0.50,1.27,-0.48
1490803589,0.24,0.59,-0.07,0.35,1.21,-0.70
1490813638,0.13,0.04,0.12,0.55,0.89,-0.79
1490823595,0.11,-0.56,0.25,0.60,0.31,-0.39
1490833590,0.07,-1.03,0.26,0.50,0.21,-0.13
1490843678,0.06,-1.42,0.21,0.50,0.32,-0.26
1490853597,-0.08,-1.66,0.20,0.34,0.20,-0.17
1490863592,-0.34,-1.60,0.09,-0.11,0.30,0.04
1490873619,-0.47,-1.50,0.01,-0.29,0.38,-0.05
1490883595,-0.50,-1.75,-0.08,-0.50,0.39,0.07
1490893705,-0.46,-2.20,-0.01,-0.65,0.53,0.21
1490905594,-0.44,-2.38,0.14,-0.55,0.81,0.28
1490915589,-0.51,-2.27,0.28,-0.30,1.08,0.31
1490925593,-0.61,-1.99,0.17,0.07,1.12,0.32
