timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1653321702,1.54,-0.28,0.03,2.18,-0.18,-0.78
1653331643,1.45,-0.31,0.05,2.00,-0.52,-0.89
1653341649,1.30,-0.30,0.07,1.72,-0.48,-0.75
1653351641,1.15,-0.27,0.09,1.52,-0.19,-0.56
1653361751,1.06,-0.23,0.06,1.21,0.14,-0.49
1653371643,0.98,-0.19,0.07,0.85,0.34,-0.24
1653381637,0.92,-0.18,0.08,0.81,0.48,-0.02
1653391648,0.89,-0.20,0.09,0.89,0.70,0.21
1653401652,0.95,-0.23,0.12,1.02,0.81,0.35
1653411726,1.04,-0.26,0.18,0.98,0.99,0.60
1653421637,1.14,-0.31,0.21,0.79,1.11,0.64
1653431641,1.23,-0.37,0.27,0.52,0.92,0.41
1653441658,1.27,-0.41,0.32,0.43,0.78,0.25
1653451642,1.27,-0.47,0.36,0.40,0.75,0.15
1653461753,1.23,-0.52,0.34,0.32,0.66,0.08
1653471638,1.21,-0.59,0.33,0.21,0.55,0.03
1653481638,1.15,-0.59,0.34,0.13,0.54,0.02
1653491663,1.15,-0.59,0.34,0.13,0.54,0.02
1653501639,1.07,-0.55,0.32,0.05,0.56,0.05
1653511719,0.99,-0.45,0.27,0.02,0.54,0.07
1653523649,0.82,-0.25,0.21,-0.03,0.43,0.09
1653533651,0.80,-0.21,0.22,-0.08,0.39,0.12
1653543648,0.81,-0.17,0.23,-0.12,0.33,0.14
1653553642,0.84,-0.18,0.26,-0.12,0.33,0.14
1653563641,0.86,-0.23,0.29,-0.15,0.26,0.16
1653573639,0.86,-0.23,0.29,-0.17,0.22,0.17
1653583709,0.84,-0.27,0.30,-0.18,0.18,0.18
1653593672,0.84,-0.32,0.31,-0.20,0.14,0.18
1653603639,0.88,-0.36,0.33,-0.20,0.11,0.16
1653613636,0.92,-0.39,0.34,-0.19,0.07,0.14
1653623640,0.94,-0.39,0.31,-0.17,0.06,0.12
1653633637,0.95,-0.35,0.26,-0.13,0.05,0.10
1653643640,0.93,-0.30,0.23,-0.09,0.05,0.05
1653653651,0.93,-0.25,0.23,-0.03,0.07,0.01
1653663650,0.94,-0.23,0.24,0.02,0.09,-0.06
1653673638,0.95,-0.24,0.26,0.10,0.04,-0.13
1653683637,0.96,-0.26,0.29,0.20,-0.05,-0.20
1653693650,0.95,-0.32,0.34,0.44,0.10,-0.17
1653703725,0.93,-0.37,0.39,2.09,2.52,0.88
1653713660,0.91,-0.39,0.43,2.35,3.66,1.96
1653725643,0.91,-0.41,0.47,2.82,1.46,0.84
1653735751,0.91,-0.39,0.48,1.59,-1.89,-1.21
1653745639,0.91,-0.35,0.47,1.36,-0.39,-1.77
1653755646,0.95,-0.30,0.45,1.31,-0.09,-1.64
1653765645,1.06,-0.28,0.41,2.13,-0.64,-2.17
1653775671,1.21,-0.24,0.35,2.03,0.28,-1.86
1653785760,1.34,-0.21,0.28,2.23,0.72,-1.16
1653795675,1.47,-0.19,0.23,2.14,0.14,-0.43
1653805635,1.54,-0.16,0.17,1.87,-0.21,0.24
1653815638,1.55,-0.12,0.11,1.56,-0.72,0.52
1653825640,1.51,-0.10,0.10,1.29,-0.65,0.39
1653835758,1.38,-0.11,0.12,1.09,-0.35,-0.04
1653845640,1.30,-0.09,0.10,1.07,-0.04,-0.31
1653855644,1.26,-0.07,0.13,1.10,0.09,-0.42
1653865647,1.21,-0.09,0.15,0.77,0.49,-0.08
1653875639,1.11,-0.08,0.16,0.95,-0.03,-0.70
1653885719,1.02,-0.07,0.18,0.58,0.36,-0.27
1653895682,0.97,-0.07,0.18,0.66,0.55,-0.57
1653905642,1.02,-0.03,0.18,0.76,0.38,-0.38
1653915639,1.02,-0.02,0.14,0.76,0.17,-0.14
1653927647,1.03,0.02,0.06,1.10,-0.16,-0.14
1653937643,1.13,0.18,-0.05,1.26,-0.10,-0.24
1653947643,1.31,0.14,-0.04,1.11,0.07,-0.36
1653957639,1.45,0.00,-0.02,1.12,0.09,-0.36
1653967644,1.45,-0.23,0.00,1.06,0.07,-0.38
1653977638,1.50,-0.32,0.02,1.00,0.18,-0.46
1653987714,1.50,-0.29,0.05,0.90,0.21,-0.36
1653997674,1.36,-0.29,0.03,0.92,0.25,-0.42
1654007641,1.28,-0.21,0.02,0.94,0.25,-0.46
1654017642,1.23,-0.09,0.03,0.97,0.24,-0.48
1654027640,1.15,0.00,-0.04,1.00,0.11,-0.42
1654037639,1.03,0.06,-0.12,1.00,0.11,-0.42
1654047677,0.92,0.11,-0.13,1.03,0.01,-0.41
1654057643,0.84,0.11,-0.06,1.00,-0.03,-0.39
1654067644,0.79,0.03,0.00,0.99,-0.00,-0.42
1654077638,0.76,-0.05,0.07,0.95,-0.02,-0.45
1654087633,0.75,-0.06,0.09,0.89,-0.05,-0.44
1654097664,0.71,-0.04,0.11,0.89,-0.05,-0.45
1654107666,0.71,0.00,0.08,0.94,-0.05,-0.44
1654117644,0.71,0.00,0.08,1.00,0.00,-0.44
1654129645,0.73,0.12,0.02,1.00,0.04,-0.46
1654139635,0.75,0.14,-0.02,1.00,0.05,-0.40
1654149631,0.79,0.14,-0.00,1.00,0.01,-0.40
1654159669,0.83,0.05,-0.01,1.01,0.01,-0.40
1654169640,0.86,-0.01,0.02,1.00,0.07,-0.41
1654179636,0.90,-0.05,0.04,1.00,0.12,-0.43
1654189716,0.98,-0.09,0.06,1.01,0.12,-0.41
1654199670,0.98,-0.09,0.06,1.02,0.11,-0.41
1654209666,1.05,-0.11,0.05,1.04,0.12,-0.41
1654219633,1.07,-0.08,0.10,1.07,0.10,-0.43
1654229638,1.05,-0.03,0.09,1.20,0.09,-0.47
1654239633,1.00,0.03,0.07,1.33,0.10,-0.50
1654249676,1.00,0.09,0.03,1.44,0.04,-0.53
1654259684,1.09,0.07,0.03,1.54,-0.02,-0.59
1654269637,1.22,-0.03,0.04,1.81,-0.01,-0.63
1654279629,1.34,-0.13,0.08,2.16,0.01,-0.73
1654289637,1.44,-0.23,0.14,2.46,-0.07,-0.82
1654299642,1.52,-0.25,0.18,2.52,-0.27,-0.93
1654309657,1.53,-0.22,0.20,2.29,-0.56,-1.09
1654319660,1.49,-0.18,0.24,1.87,-0.45,-0.92
1654331633,1.34,-0.17,0.30,1.50,-0.30,-0.68
1654341636,1.19,-0.17,0.34,1.09,0.02,-0.49
1654351629,1.00,-0.13,0.39,0.91,0.55,-0.20
1654361689,0.86,-0.12,0.41,0.77,0.82,0.00
1654371633,0.77,-0.14,0.43,0.76,0.76,-0.01
1654381635,0.79,-0.11,0.43,0.88,0.52,0.22
1654391714,0.93,-0.13,0.44,0.87,0.77,0.34
1654401670,1.07,-0.12,0.38,0.82,1.30,0.52
1654411649,1.24,-0.21,0.43,0.38,1.01,0.59
1654421631,1.34,-0.28,0.48,0.21,0.71,0.51
1654431632,1.49,-0.29,0.45,0.24,0.57,0.41
1654441632,1.58,-0.23,0.45,0.30,0.49,0.22
1654451681,1.52,-0.23,0.42,0.31,0.45,0.02
1654461656,1.35,-0.37,0.44,-0.04,0.36,0.38
1654471637,1.32,-0.46,0.36,0.07,0.30,0.18
1654481631,1.31,-0.39,0.40,-0.02,0.34,0.22
1654491639,1.17,-0.30,0.39,-0.05,0.29,0.21
1654501634,0.99,-0.29,0.40,-0.12,0.26,0.21
1654511632,0.84,-0.23,0.35,-0.23,0.25,0.23
1654521658,0.80,-0.13,0.33,-0.29,0.23,0.26
1654533638,0.81,-0.08,0.31,-0.32,0.18,0.30
1654543633,0.82,-0.14,0.35,-0.35,0.14,0.31
1654553634,0.84,-0.26,0.42,-0.34,0.16,0.27
1654563635,0.88,-0.37,0.48,-0.33,0.14,0.24
1654573635,0.88,-0.45,0.48,-0.29,0.08,0.21
1654583633,0.83,-0.47,0.41,-0.23,0.07,0.20
1654593709,0.82,-0.46,0.33,-0.21,0.06,0.20
1654603670,0.89,-0.41,0.30,-0.21,0.06,0.20
1654613633,0.89,-0.39,0.30,-0.16,0.05,0.15
