timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1107629815,0.88,-0.60,-0.03,0.82,0.59,0.09
1107639837,0.89,-0.56,-0.05,0.84,0.59,0.09
1107649760,0.89,-0.56,-0.08,0.84,0.59,0.09
1107659750,0.88,-0.57,-0.11,0.84,0.58,0.09
1107669747,0.84,-0.63,-0.07,0.83,0.58,0.10
1107679751,0.84,-0.65,-0.07,0.83,0.59,0.09
1107689835,0.84,-0.65,-0.08,0.82,0.58,0.09
1107699751,0.84,-0.62,-0.07,0.82,0.59,0.10
1107709748,0.84,-0.59,-0.08,0.83,0.59,0.10
1107719749,0.84,-0.57,-0.11,0.83,0.60,0.10
1107729751,0.85,-0.54,-0.12,0.84,0.58,0.11
1107739836,0.86,-0.53,-0.12,0.84,0.57,0.11
1107749758,0.86,-0.52,-0.11,0.82,0.57,0.11
1107759749,0.86,-0.54,-0.11,0.81,0.58,0.12
1107769751,0.86,-0.54,-0.11,0.81,0.59,0.11
1107779748,0.87,-0.53,-0.11,0.82,0.59,0.11
1107789847,0.89,-0.52,-0.11,0.83,0.58,0.11
1107799751,0.88,-0.50,-0.12,0.83,0.58,0.11
1107809749,0.89,-0.50,-0.12,0.83,0.59,0.11
1107819748,0.89,-0.47,-0.13,0.82,0.59,0.12
1107831749,0.90,-0.47,-0.13,0.82,0.59,0.12
1107841863,0.93,-0.46,-0.14,0.82,0.59,0.12
1107851752,0.93,-0.44,-0.14,0.83,0.59,0.11
1107861749,0.95,-0.45,-0.14,0.84,0.57,0.11
1107871749,0.95,-0.46,-0.14,0.84,0.57,0.11
1107881748,0.95,-0.47,-0.12,0.83,0.57,0.11
1107891918,0.95,-0.46,-0.13,0.82,0.57,0.12
1107901771,0.95,-0.46,-0.14,0.82,0.58,0.12
1107911750,0.96,-0.46,-0.13,0.82,0.59,0.12
1107921749,0.96,-0.45,-0.14,0.82,0.58,0.12
1107931754,0.97,-0.45,-0.14,0.84,0.57,0.12
1107941831,0.97,-0.45,-0.14,0.83,0.57,0.12
1107951752,0.98,-0.48,-0.12,0.82,0.57,0.12
1107961799,0.96,-0.47,-0.12,0.84,0.59,0.14
1107971750,0.99,-0.50,-0.13,0.84,0.57,0.10
1107981751,0.99,-0.50,-0.13,0.80,0.58,0.14
1107991830,0.95,-0.45,-0.12,0.82,0.57,0.13
1108001754,0.93,-0.47,-0.12,0.82,0.57,0.13
1108011751,0.94,-0.46,-0.12,0.83,0.58,0.12
1108021777,0.95,-0.45,-0.14,0.83,0.57,0.12
1108033751,0.93,-0.41,-0.15,0.81,0.57,0.11
1108043753,0.93,-0.42,-0.14,0.84,0.60,0.14
1108053748,0.93,-0.42,-0.14,0.84,0.55,0.09
1108063752,0.93,-0.43,-0.16,0.82,0.61,0.12
1108073749,0.93,-0.43,-0.16,0.82,0.61,0.12
1108083750,0.93,-0.45,-0.16,0.84,0.61,0.14
1108093825,0.95,-0.44,-0.19,0.83,0.57,0.10
1108103781,0.95,-0.43,-0.18,0.83,0.59,0.12
1108113750,0.91,-0.45,-0.18,0.85,0.56,0.12
1108123751,0.92,-0.46,-0.18,0.81,0.58,0.12
1108133755,0.93,-0.48,-0.17,0.80,0.59,0.13
1108143802,0.94,-0.49,-0.17,0.80,0.57,0.14
1108153747,0.95,-0.49,-0.16,0.78,0.59,0.16
1108163768,0.93,-0.49,-0.16,0.79,0.61,0.16
1108173752,0.93,-0.48,-0.18,0.76,0.61,0.16
1108183751,0.93,-0.50,-0.16,0.82,0.59,0.19
1108193787,0.93,-0.48,-0.17,0.84,0.55,0.11
1108203753,0.93,-0.48,-0.18,0.80,0.67,0.15
1108213749,0.94,-0.48,-0.19,0.74,0.61,0.15
1108223758,0.96,-0.47,-0.17,0.82,0.58,0.14
1108235753,0.94,-0.47,-0.19,0.84,0.60,0.11
