timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
13085813,0.79,-0.39,0.45,0.73,0.73,0.03
13095752,0.80,-0.40,0.46,0.73,0.74,0.02
13105753,0.80,-0.40,0.45,0.74,0.74,0.02
13115866,0.79,-0.39,0.46,0.73,0.74,0.03
13125749,0.78,-0.39,0.46,0.72,0.74,0.02
13135749,0.78,-0.39,0.46,0.72,0.74,0.01
13145753,0.80,-0.38,0.46,0.72,0.75,0.02
13155749,0.78,-0.36,0.46,0.73,0.74,0.01
13165830,0.79,-0.36,0.46,0.73,0.73,0.01
13175750,0.77,-0.36,0.46,0.72,0.74,0.01
13185750,0.78,-0.36,0.45,0.72,0.74,0.01
13195774,0.77,-0.38,0.45,0.72,0.74,0.01
13205749,0.76,-0.38,0.46,0.72,0.75,0.01
13215865,0.77,-0.40,0.49,0.72,0.74,0.00
13225751,0.78,-0.41,0.48,0.72,0.74,0.01
13235753,0.77,-0.39,0.49,0.71,0.75,0.02
13245757,0.78,-0.38,0.48,0.71,0.75,0.01
13255751,0.77,-0.36,0.47,0.71,0.75,0.01
13265863,0.78,-0.36,0.46,0.71,0.75,0.01
13275749,0.79,-0.37,0.46,0.71,0.75,0.00
13287754,0.78,-0.36,0.44,0.72,0.75,0.00
13297774,0.78,-0.36,0.46,0.71,0.75,0.00
13307752,0.80,-0.39,0.45,0.71,0.75,0.00
13317758,0.80,-0.39,0.45,0.70,0.75,0.00
13327752,0.81,-0.39,0.45,0.71,0.75,0.01
13337751,0.81,-0.39,0.45,0.72,0.75,0.01
13347818,0.80,-0.38,0.45,0.70,0.75,0.01
13357775,0.80,-0.36,0.43,0.70,0.75,0.01
13367751,0.81,-0.36,0.44,0.70,0.76,0.01
13377750,0.82,-0.35,0.43,0.70,0.75,0.01
13387749,0.82,-0.35,0.43,0.70,0.76,0.00
13397771,0.82,-0.36,0.42,0.70,0.75,0.01
13407802,0.83,-0.37,0.43,0.70,0.75,0.01
13417772,0.83,-0.37,0.45,0.70,0.76,0.01
13427754,0.83,-0.37,0.45,0.70,0.76,0.00
13437750,0.83,-0.38,0.45,0.70,0.76,0.00
13447752,0.82,-0.37,0.43,0.70,0.76,0.01
13457752,0.82,-0.36,0.42,0.70,0.76,0.01
13467754,0.81,-0.35,0.41,0.69,0.76,0.02
13477749,0.82,-0.34,0.40,0.70,0.76,0.01
13489862,0.81,-0.34,0.39,0.70,0.75,0.00
13499755,0.81,-0.35,0.40,0.70,0.75,0.00
13509759,0.81,-0.38,0.42,0.70,0.76,0.00
13519773,0.80,-0.38,0.43,0.70,0.76,0.00
13529752,0.81,-0.39,0.43,0.69,0.76,0.01
13539848,0.80,-0.38,0.43,0.70,0.76,0.01
13549825,0.80,-0.38,0.45,0.71,0.76,0.01
13559778,0.80,-0.36,0.43,0.70,0.76,0.01
13569750,0.80,-0.36,0.41,0.71,0.76,0.01
13579750,0.81,-0.34,0.43,0.70,0.75,0.02
13589839,0.80,-0.36,0.42,0.71,0.76,0.01
13599786,0.79,-0.35,0.43,0.70,0.74,0.01
13609767,0.79,-0.36,0.41,0.71,0.75,0.02
13619771,0.80,-0.35,0.41,0.70,0.75,0.01
13629755,0.80,-0.35,0.41,0.71,0.75,0.01
13639837,0.81,-0.37,0.42,0.71,0.75,0.01
13649749,0.81,-0.35,0.41,0.70,0.75,0.02
13659749,0.82,-0.34,0.42,0.70,0.75,0.01
13669751,0.82,-0.34,0.42,0.70,0.75,0.01
13679778,0.83,-0.35,0.42,0.71,0.76,0.01
13691865,0.83,-0.36,0.43,0.71,0.76,0.01
13701753,0.83,-0.36,0.43,0.70,0.75,0.01
13711755,0.84,-0.35,0.41,0.71,0.75,0.01
13721760,0.83,-0.32,0.42,0.71,0.75,0.01
13731748,0.84,-0.34,0.43,0.71,0.75,0.02
13741835,0.84,-0.34,0.42,0.70,0.75,0.02
13751813,0.84,-0.34,0.41,0.70,0.75,0.02
13761775,0.85,-0.34,0.42,0.70,0.75,0.02
13771751,0.86,-0.34,0.41,0.70,0.75,0.02
13781748,0.84,-0.34,0.42,0.71,0.75,0.02
