timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1408715534,0.92,-0.31,-0.05,1.07,-0.23,-0.51
1408725465,0.80,-0.43,-0.06,1.12,-0.23,-0.50
1408735464,0.68,-0.46,-0.09,1.12,-0.23,-0.48
1408745465,0.51,-0.50,-0.05,1.12,-0.25,-0.46
1408755464,0.35,-0.57,-0.04,1.11,-0.22,-0.44
1408765465,0.22,-0.63,-0.02,0.98,-0.28,-0.52
1408775472,0.11,-0.71,0.03,0.85,-0.13,-0.59
1408785465,0.07,-0.70,0.02,0.85,0.02,-0.48
1408795470,0.09,-0.68,0.01,0.96,0.12,-0.29
1408805463,0.06,-0.62,0.02,1.10,0.11,-0.25
1408815462,0.09,-0.52,0.03,1.22,0.14,-0.18
1408825462,0.16,-0.39,0.04,1.18,0.01,-0.18
1408835464,0.19,-0.32,0.09,1.02,-0.01,-0.18
1408845466,0.26,-0.24,0.15,1.01,0.29,-0.03
1408855464,0.40,-0.17,0.20,0.96,0.47,-0.01
1408865464,0.58,-0.08,0.32,0.82,0.25,-0.21
1408875476,0.84,0.02,0.42,0.54,0.12,-0.31
1408885474,1.20,0.16,0.55,0.21,0.38,-0.08
1408895473,1.20,0.16,0.55,-0.02,0.76,0.09
1408905467,1.71,0.32,0.68,0.04,0.74,0.07
1408917557,3.38,0.59,0.77,0.31,0.42,0.00
1408927465,4.00,0.59,0.46,0.56,0.62,0.17
1408937465,4.00,0.45,0.18,0.86,0.72,0.24
1408947466,4.00,0.46,-0.05,1.11,0.65,0.16
1408957467,4.00,0.46,-0.57,1.29,0.65,0.17
1408967553,4.00,0.46,-0.57,1.25,0.70,0.36
1408977546,4.00,0.52,-0.75,1.15,0.61,0.38
1408987505,4.00,0.32,-0.92,1.03,0.88,0.40
1408997464,4.00,0.18,-0.43,1.14,0.82,0.33
1409007463,4.00,0.20,-0.10,1.14,0.91,0.38
1409017552,3.55,0.05,-0.30,0.97,0.83,0.48
1409027466,3.21,-0.43,-0.25,0.94,0.85,0.45
1409037466,2.87,-0.69,0.05,1.19,0.78,0.45
1409047469,2.43,-0.74,0.23,1.63,0.69,0.33
1409057466,1.75,-0.73,0.29,2.28,0.46,0.08
1409067553,0.93,-0.57,0.32,2.99,0.09,-0.41
1409077486,0.70,-0.44,0.23,3.38,-0.52,-1.04
1409087469,0.72,-0.30,0.20,2.97,-0.88,-1.52
1409097468,0.32,-0.02,0.23,2.32,-1.00,-1.75
1409107465,0.01,-0.12,0.34,1.81,-0.82,-1.51
1409119574,-0.06,-0.03,0.17,1.84,-0.22,-1.02
1409129464,-0.26,0.27,0.29,2.07,1.34,-0.13
1409139504,-0.04,0.23,0.25,1.91,3.07,0.25
1409149465,0.25,0.18,0.07,1.03,3.12,0.50
1409159474,0.21,0.50,-0.01,0.50,1.69,0.11
1409169555,0.07,0.72,-0.09,0.08,0.01,-0.39
1409179525,-0.07,0.67,-0.12,0.24,-0.82,-0.15
1409189501,-0.17,0.62,-0.04,0.24,-0.82,-0.15
1409199467,-0.12,0.64,0.02,0.50,-0.73,0.25
1409209463,-0.15,0.65,0.00,0.43,-0.26,0.38
1409219544,-0.25,0.72,0.03,0.52,0.23,0.40
1409229463,-0.34,0.85,-0.05,0.59,0.44,0.25
1409239509,-0.45,0.89,-0.18,0.54,0.34,0.04
1409249466,-0.41,0.85,-0.22,0.52,0.06,-0.20
1409259462,-0.29,0.75,-0.33,0.64,-0.11,-0.25
1409269543,-0.22,0.57,-0.25,0.73,-0.32,-0.08
1409279477,-0.09,0.48,-0.19,0.77,-0.36,0.07
1409289494,-0.01,0.36,-0.07,0.75,-0.21,0.04
1409299465,0.02,0.27,-0.13,0.74,-0.06,-0.10
1409309480,-0.05,0.28,-0.15,0.65,-0.07,-0.21
1409321504,-0.13,0.34,-0.14,0.37,-0.35,-0.36
1409331465,-0.14,0.37,-0.10,0.02,-0.69,-0.36
1409341462,-0.10,0.30,-0.04,-0.40,-0.78,-0.31
1409351465,-0.08,0.25,-0.03,-0.78,-0.79,-0.25
1409361462,-0.06,0.20,-0.05,-1.20,-0.90,-0.25
1409371468,-0.06,0.18,-0.11,-1.59,-1.15,-0.28
1409381539,-0.08,0.19,-0.15,-1.75,-1.21,-0.35
1409391526,-0.09,0.21,-0.20,-1.70,-1.04,-0.43
1409401463,-0.11,0.22,-0.19,-1.46,-0.81,-0.44
1409411468,-0.13,0.26,-0.21,-1.11,-0.53,-0.40
1409421464,-0.18,0.31,-0.24,-0.73,-0.38,-0.32
1409431467,-0.21,0.34,-0.27,-0.49,-0.28,-0.21
1409441499,-0.21,0.35,-0.28,-0.11,-0.20,-0.18
1409451461,-0.16,0.32,-0.24,0.08,-0.30,-0.27
1409461459,-0.10,0.25,-0.20,0.22,-0.41,-0.43
1409471460,-0.07,0.24,-0.15,0.40,-0.49,-0.55
1409481462,-0.07,0.24,-0.15,0.48,-0.54,-0.57
1409491523,-0.08,0.24,-0.10,4.00,4.00,4.00
1409501488,-0.09,0.23,-0.07,4.00,4.00,4.00
1409511459,-0.08,0.25,-0.04,2.66,-0.92,-3.38
1409523469,0.14,0.18,0.14,-0.96,-4.00,-3.68
1409533459,0.36,-0.04,0.31,2.59,1.25,-2.32
1409543470,0.66,-0.41,0.61,1.72,1.68,-3.78
