timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1872055528,0.62,0.09,0.10,1.11,-0.03,-0.20
1872065465,0.56,0.07,0.08,1.06,0.00,-0.17
1872075466,0.49,0.04,0.10,1.15,-0.02,-0.17
1872085466,0.42,0.04,0.10,1.15,-0.02,-0.17
1872095469,0.35,0.03,0.10,1.07,0.03,-0.22
1872105469,0.29,0.02,0.10,1.15,0.07,-0.24
1872115465,0.25,0.02,0.07,1.27,0.05,-0.25
1872125498,0.39,0.02,0.04,1.38,-0.00,-0.19
1872135475,0.27,0.00,-0.05,1.29,0.01,-0.04
1872145468,0.06,-0.09,0.07,1.10,0.09,0.03
1872155462,0.21,-0.09,0.01,0.86,0.16,0.01
1872165464,0.27,-0.03,0.04,0.69,0.21,-0.09
1872175469,0.34,-0.03,0.07,0.55,0.42,-0.14
1872185464,0.34,-0.03,0.07,0.48,0.50,-0.15
1872195465,0.41,-0.04,0.15,0.42,0.52,-0.20
1872205467,0.73,0.02,0.21,0.40,0.53,-0.09
1872215465,1.04,0.12,0.26,0.42,0.43,-0.06
1872225482,1.45,0.19,0.35,0.43,0.36,-0.04
1872235472,1.88,0.35,0.31,0.53,0.41,-0.10
1872245467,2.46,0.59,0.38,0.79,0.48,0.00
1872257464,3.16,0.72,0.38,1.14,0.42,0.19
1872267564,3.47,0.61,0.32,1.45,0.21,0.35
1872277465,3.35,0.34,0.15,1.47,0.29,0.44
1872287464,3.23,-0.02,0.24,1.20,0.50,0.30
1872297469,3.34,0.07,0.05,0.89,0.59,0.17
1872307465,3.39,0.06,0.27,0.86,0.71,0.20
1872317585,3.44,0.28,-0.01,0.98,0.67,0.28
1872327512,3.36,0.30,0.23,0.98,0.61,0.38
1872337464,3.21,0.26,0.27,0.91,0.57,0.42
1872347464,3.00,0.32,0.23,0.84,0.64,0.42
1872357466,2.96,0.24,0.07,0.76,0.68,0.34
1872367549,2.95,0.13,0.11,0.72,0.78,0.29
1872377464,2.82,0.14,0.06,0.75,0.85,0.27
1872387463,2.73,0.04,0.03,0.92,0.80,0.27
1872397466,2.43,-0.11,0.04,1.22,0.75,0.27
1872407463,2.16,-0.20,0.16,1.61,0.62,0.23
1872417554,2.03,-0.20,0.05,1.95,0.38,0.11
1872427470,1.68,-0.16,0.10,2.23,0.15,-0.05
1872437480,1.37,-0.27,0.18,2.35,-0.04,-0.31
1872447460,1.09,-0.43,0.21,2.23,-0.27,-0.61
1872459474,0.83,-0.51,0.17,2.02,-0.40,-0.86
1872469545,0.57,-0.48,0.12,1.73,-0.46,-0.90
