timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1384330656,0.08,0.25,0.28,0.32,0.13,-0.21
1384340588,0.16,0.25,0.40,0.27,0.16,-0.08
1384350589,0.25,0.18,0.47,0.40,0.20,-0.05
1384360588,0.36,0.15,0.59,0.56,0.25,-0.02
1384370661,0.41,-0.04,0.66,0.55,0.32,0.02
1384380591,0.56,-0.28,0.68,0.43,0.31,0.06
1384390599,0.84,-0.61,0.78,0.33,0.38,-0.10
1384400603,0.84,-0.77,0.89,-0.04,0.67,-0.13
1384410592,0.62,-0.59,1.02,-0.15,0.88,-0.28
1384420676,0.40,-0.43,1.25,-0.15,0.88,-0.28
1384430596,0.28,-0.45,1.52,-0.09,1.10,-0.45
1384440597,0.34,-0.66,1.68,-0.02,1.35,-0.39
1384450593,0.49,-0.97,1.70,0.05,1.53,-0.32
1384460591,0.54,-1.25,1.60,0.16,1.71,-0.29
1384470667,0.48,-1.25,1.31,0.22,1.80,-0.11
1384480589,0.35,-1.09,1.00,0.41,1.66,-0.02
1384490614,0.15,-0.91,0.75,0.72,1.44,-0.13
1384500610,-0.11,-0.84,0.53,0.83,1.20,-0.10
1384510589,-0.36,-1.02,0.39,0.89,0.93,-0.07
1384520674,-0.67,-1.25,0.38,0.91,0.66,-0.13
1384532590,-0.92,-1.29,0.42,0.77,0.41,-0.04
1384542591,-1.00,-1.32,0.41,0.59,0.16,-0.01
1384552599,-1.05,-1.44,0.51,0.56,-0.04,-0.11
1384562599,-1.12,-1.51,0.56,0.34,-0.14,-0.09
1384572590,-1.08,-1.50,0.57,0.24,-0.20,-0.05
1384582591,-0.96,-1.46,0.54,0.26,-0.18,-0.11
1384592673,-0.80,-1.34,0.44,0.36,-0.00,-0.18
1384602651,-0.68,-1.24,0.36,0.04,0.79,-0.38
1384612594,-0.68,-1.24,0.36,-0.02,-0.09,-0.67
1384622594,-0.55,-1.24,0.26,1.54,0.12,1.15
1384632667,-0.37,-1.35,0.19,0.75,1.16,-0.01
1384642590,-0.16,-1.57,0.20,2.28,-0.91,-0.73
1384652591,-0.02,-1.81,0.29,2.40,-0.42,-0.77
1384662592,0.13,-2.04,0.24,2.29,-1.15,-0.76
1384672589,0.33,-2.20,0.14,1.31,-1.64,-0.37
1384682593,0.57,-2.16,0.04,1.57,-0.77,-0.64
1384692590,0.75,-2.01,-0.05,2.40,-0.17,-0.36
1384702636,0.78,-1.89,-0.16,2.99,0.28,-0.09
1384712629,0.73,-2.00,-0.25,2.48,0.22,-0.26
1384722593,0.86,-2.18,-0.32,1.68,-0.28,-0.20
1384734591,1.16,-2.22,-0.27,1.69,-0.38,-0.42
1384744701,1.42,-2.03,-0.15,2.09,-0.20,-0.66
1384754589,1.55,-1.73,-0.09,2.10,-0.16,-0.63
1384764592,1.50,-1.39,-0.11,1.77,-0.18,-0.62
1384774591,1.30,-1.06,-0.08,1.53,-0.34,-0.52
1384784590,1.11,-0.75,0.02,1.40,-0.48,-0.35
1384794709,0.98,-0.53,0.14,1.16,-0.59,-0.14
1384804632,0.84,-0.37,0.27,1.10,-0.79,-0.30
1384814591,0.73,-0.19,0.29,0.98,-0.79,-0.38
1384824594,0.69,-0.05,0.25,0.80,-0.70,-0.39
1384834586,0.68,0.04,0.23,0.80,-0.45,-0.47
1384844708,0.71,0.17,0.14,1.02,-0.04,-0.37
1384854589,0.68,0.35,0.02,1.18,0.15,-0.51
1384864591,0.59,0.55,-0.08,1.48,-0.23,-1.23
1384874591,0.39,0.72,-0.21,0.46,0.02,-0.15
1384884592,0.35,0.91,-0.24,0.44,0.88,-0.08
1384894664,0.12,1.02,-0.25,0.44,0.88,-0.08
1384904633,0.41,0.82,-0.18,0.66,1.45,-0.44
1384914592,0.23,0.67,-0.10,0.52,1.20,-0.64
1384924596,0.33,0.16,0.03,0.44,0.96,-0.14
1384936593,0.42,-0.48,0.19,0.48,0.23,-0.23
