timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1898724663,0.31,0.20,0.38,0.39,0.71,-0.59
1898734588,0.38,0.10,0.40,0.54,0.48,-0.63
1898744708,0.39,0.03,0.52,0.73,0.38,-0.51
1898754589,0.39,0.03,0.52,0.73,0.56,-0.43
1898764589,0.38,-0.03,0.78,0.71,0.80,-0.58
1898774592,0.41,-0.03,1.01,0.53,0.79,-0.69
1898784591,0.50,-0.07,1.11,0.36,0.61,-0.70
1898794669,0.55,-0.07,1.05,0.34,0.68,-0.54
1898804596,0.52,-0.02,0.92,0.29,0.77,-0.12
1898814590,0.42,0.08,0.91,0.11,0.80,0.18
1898824598,0.32,0.14,0.95,0.04,0.81,0.18
1898834590,0.30,0.06,0.94,-0.04,0.74,0.17
1898844680,0.31,-0.12,0.93,-0.17,0.68,0.16
1898854598,0.28,-0.25,0.91,-0.11,0.69,0.04
1898864591,0.23,-0.31,0.86,0.16,0.78,-0.07
1898874596,0.17,-0.39,0.86,0.44,0.94,-0.12
1898884591,0.08,-0.55,0.80,0.70,1.10,-0.15
1898894669,-0.05,-0.83,0.80,0.94,1.21,-0.12
1898904598,-0.15,-1.13,0.85,1.06,1.32,-0.05
1898914587,-0.27,-1.18,0.88,1.06,1.32,-0.05
1898926604,-0.42,-0.91,0.82,0.96,1.04,0.01
1898936592,-0.66,-0.52,0.75,0.71,0.66,-0.02
1898946610,-0.88,-0.22,0.68,0.52,0.41,-0.09
1898956603,-0.97,-0.07,0.66,0.29,0.38,-0.23
1898966587,-0.96,-0.01,0.60,0.02,0.36,-0.15
1898976590,-0.97,0.07,0.54,-0.49,-0.31,-0.52
1898986660,-0.94,-0.12,0.58,-0.49,-0.31,-0.52
1898996624,-0.78,-0.55,0.68,0.48,-2.10,0.72
1899006594,-0.58,-1.05,0.79,0.38,-0.14,1.37
1899016591,-0.43,-1.41,0.94,1.20,1.09,-0.52
1899026601,-0.38,-1.54,1.00,3.06,-1.25,-0.01
1899036590,-0.41,-1.64,1.06,2.67,-0.39,-0.79
1899046590,-0.48,-1.77,1.02,2.44,-0.07,-1.36
1899056595,-0.46,-1.98,0.94,1.24,-1.04,-0.54
1899066589,-0.28,-2.10,0.85,1.46,-0.46,-0.43
1899076593,-0.04,-2.19,0.74,2.34,0.03,-0.41
1899086589,-0.00,-2.25,0.73,2.32,0.07,-0.09
1899096590,-0.10,-2.22,0.70,1.95,-0.21,-0.16
1899106597,0.09,-2.32,0.73,1.71,-0.31,-0.41
1899116596,0.46,-2.49,0.74,1.89,-0.16,-0.65
1899128609,0.77,-2.55,0.75,2.03,0.00,-0.82
1899138590,1.14,-2.42,0.60,1.77,0.01,-0.74
1899148590,1.49,-2.01,0.30,1.43,-0.28,-0.56
1899158633,1.59,-1.39,0.04,1.20,-0.60,-0.38
1899168703,1.43,-0.79,-0.13,1.18,-0.55,-0.31
1899178591,1.13,-0.29,-0.13,1.13,-0.63,-0.22
1899188657,0.88,0.07,-0.04,1.00,-0.77,-0.20
1899198623,0.67,0.36,0.12,0.94,-0.84,-0.27
1899208599,0.52,0.54,0.31,0.90,-0.63,-0.34
1899218688,0.47,0.63,0.37,0.92,-0.19,-0.25
1899228637,0.48,0.61,0.31,1.07,0.57,-0.41
1899238590,0.64,0.52,0.09,1.14,0.99,-0.54
1899248597,0.62,0.62,0.05,1.11,1.04,-0.55
1899258607,0.38,0.92,-0.19,1.08,1.20,-0.54
1899268691,0.36,0.98,-0.21,0.84,1.07,-0.56
1899278597,0.36,0.98,-0.21,0.41,0.94,-0.50
1899288590,0.43,0.91,-0.09,0.70,0.26,-0.60
1899298589,0.46,0.72,-0.00,0.65,0.02,-0.27
1899308603,0.43,0.43,0.16,0.51,-0.03,-0.12
1899318680,0.39,0.06,0.19,0.54,-0.06,-0.22
1899330636,0.68,-1.50,0.25,0.56,-0.12,-0.19
1899340593,0.76,-2.38,0.50,0.57,-0.09,-0.18
1899350592,0.76,-2.38,0.50,0.43,0.00,-0.18
1899360604,0.64,-2.79,0.62,0.20,0.16,-0.07
1899370676,0.44,-2.56,0.57,0.06,0.35,-0.02
1899380592,0.16,-2.12,0.66,0.11,0.52,-0.06
1899390661,-0.02,-1.78,0.80,0.07,0.52,-0.04
1899400621,-0.12,-1.50,0.87,0.14,0.55,-0.10
1899410597,-0.23,-1.31,0.84,0.31,0.59,-0.12
1899420676,-0.21,-1.18,0.68,0.38,0.65,-0.04
1899430589,-0.19,-0.98,0.45,0.38,0.67,-0.04
1899440590,-0.29,-0.84,0.25,0.54,0.62,-0.14
1899450640,-0.40,-0.91,0.11,0.54,0.62,-0.14
1899460626,-0.49,-1.11,0.09,0.66,0.57,-0.12
1899470676,-0.55,-1.31,0.10,0.82,0.60,-0.14
1899480590,-0.57,-1.52,0.12,0.99,0.62,-0.14
1899490588,-0.62,-1.76,0.25,1.15,0.78,-0.17
1899500597,-0.63,-1.98,0.42,1.23,1.10,-0.20
1899510627,-0.64,-2.07,0.50,1.06,1.25,-0.17
1899520705,-0.68,-2.03,0.59,0.77,1.19,-0.06
1899532599,-0.64,-1.80,0.47,0.57,1.00,-0.12
1899542592,-0.61,-1.48,0.39,0.21,0.62,-0.21
1899552592,-0.59,-1.18,0.32,0.05,0.17,-0.20
1899562611,-0.50,-0.97,0.23,-0.21,0.03,-0.07
1899572595,-0.43,-0.86,0.11,-0.36,0.45,0.37
1899582591,-0.33,-1.00,0.12,-0.69,2.54,0.19
1899592658,-0.17,-1.32,0.22,0.79,1.48,0.64
1899602622,0.02,-1.55,0.25,0.43,-0.72,-0.50
1899612607,0.19,-1.61,0.20,1.63,-1.64,-1.29
1899622593,0.36,-1.64,0.10,3.00,0.26,-1.43
1899632588,0.62,-1.65,0.02,2.50,-0.34,-1.65
1899642633,0.93,-1.68,0.01,1.29,-0.91,-0.86
1899652585,1.21,-1.63,0.04,1.74,-0.37,-0.14
1899662581,1.23,-1.63,-0.04,3.30,-0.71,-0.11
1899672586,1.12,-1.76,-0.04,3.43,-0.46,0.06
1899682585,1.31,-1.89,0.01,2.21,-0.50,0.18
1899692585,1.64,-1.88,0.09,1.68,-0.75,-0.27
1899702612,1.75,-1.78,0.11,1.75,-0.54,-0.67
1899712591,1.60,-1.69,0.13,1.94,-0.23,-0.67
1899722588,1.42,-1.43,0.11,1.88,-0.04,-0.66
1899734593,1.36,-1.04,0.03,1.71,-0.26,-0.57
1899744605,1.20,-0.65,0.08,1.59,-0.46,-0.36
1899754584,0.91,-0.29,0.14,1.36,-0.72,-0.12
1899764582,0.60,-0.01,0.23,1.08,-0.95,-0.12
1899774602,0.43,0.15,0.35,0.86,-1.11,-0.06
1899784581,0.39,0.27,0.28,0.64,-0.63,-0.13
1899794671,0.44,0.39,0.11,0.68,0.10,-0.38
1899804623,0.50,0.35,0.05,0.62,0.65,-0.35
1899814586,0.52,0.24,0.02,0.71,0.91,-0.41
1899824586,0.48,0.23,-0.03,0.84,0.92,-0.46
1899834583,0.35,0.33,-0.06,0.88,0.93,-0.55
1899844599,0.17,0.48,-0.05,0.68,1.11,-0.79
1899854624,0.04,0.56,0.01,0.78,1.13,-0.70
1899864584,-0.03,0.54,0.06,1.00,0.39,-0.32
1899874606,-0.07,0.33,0.12,0.63,0.11,-0.09
1899884584,-0.07,0.33,0.12,0.51,0.14,-0.09
1899894593,-0.02,-0.01,0.15,0.61,0.16,-0.17
1899904591,0.03,-0.57,0.25,0.63,0.19,-0.09
