timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1905590716,0.93,-0.27,0.08,0.65,0.62,-0.04
1905600641,0.99,-0.27,0.09,0.63,0.62,-0.02
1905610726,1.06,-0.25,0.09,0.62,0.80,0.24
1905620644,1.13,-0.22,0.11,0.55,1.18,0.30
1905630639,1.17,-0.23,0.12,0.40,1.12,0.19
1905640641,1.18,-0.22,0.14,0.38,0.87,0.07
1905650663,1.21,-0.17,0.06,0.38,0.71,-0.03
1905660733,1.22,-0.06,0.03,0.33,0.69,-0.08
1905670643,1.16,-0.32,0.32,0.22,0.70,-0.10
1905680640,1.10,-0.59,0.52,0.22,0.70,-0.10
1905690643,1.09,-0.67,0.64,0.18,0.68,-0.14
1905700638,0.87,-0.57,0.65,0.19,0.67,-0.12
1905710719,0.72,-0.31,0.34,0.20,0.62,-0.11
1905720638,0.66,-0.05,0.24,0.14,0.70,-0.05
1905730637,0.72,0.01,0.20,0.11,0.64,-0.04
1905740638,0.85,-0.17,0.33,0.07,0.53,0.04
1905750641,0.91,-0.41,0.47,0.03,0.42,0.08
1905760750,0.84,-0.72,0.57,-0.02,0.33,0.12
1905770641,0.86,-0.72,0.45,-0.11,0.29,0.19
1905780638,0.90,-0.43,0.55,-0.12,0.24,0.19
1905792648,1.06,-0.29,0.28,-0.13,0.20,0.18
1905802641,0.95,-0.14,0.20,-0.02,0.20,-0.02
1905812642,0.85,-0.29,0.27,-0.03,-0.03,0.03
1905822639,0.92,-0.35,0.30,0.12,-0.15,-0.05
1905832641,1.08,-0.36,0.35,0.28,-0.12,0.00
1905842641,1.09,-0.36,0.33,1.15,1.43,0.46
1905852708,0.98,-0.40,0.26,1.26,1.98,1.24
1905862692,0.92,-0.49,0.39,1.56,0.80,0.00
1905872642,0.96,-0.64,0.46,1.60,-1.40,-0.95
1905882644,0.96,-0.68,0.47,1.95,-0.83,-1.04
1905892646,0.96,-0.68,0.47,1.43,-0.11,-1.33
1905902641,0.95,-0.65,0.42,1.91,-0.22,-1.57
1905912692,1.08,-0.62,0.35,1.87,0.21,-1.50
1905922641,1.27,-0.55,0.37,2.10,0.63,-1.39
1905932638,1.40,-0.48,0.38,2.45,-0.37,-0.51
1905942641,1.43,-0.41,0.34,2.60,-0.87,0.36
1905952641,1.36,-0.27,0.30,1.84,-0.84,0.40
1905962657,1.33,-0.25,0.29,1.08,-0.40,-0.24
1905972671,1.30,-0.33,0.29,0.66,0.13,-0.56
1905982644,1.21,-0.38,0.30,0.49,0.09,-0.09
1905994655,1.04,-0.33,0.29,0.67,-0.10,0.04
1906004640,0.84,-0.26,0.25,0.89,-0.09,-0.37
1906014638,0.67,-0.16,0.20,0.88,0.19,-0.69
1906024641,0.58,-0.07,0.16,0.76,0.44,-0.71
1906034724,0.58,-0.08,0.12,0.84,0.39,-0.49
1906044640,0.65,-0.06,0.16,0.91,0.21,-0.28
1906054710,0.72,-0.09,0.17,0.99,0.02,-0.32
1906064701,0.75,-0.18,0.17,1.05,-0.10,-0.45
1906074645,0.77,-0.21,0.16,1.18,-0.20,-0.59
1906084732,0.82,-0.24,0.14,1.12,-0.17,-0.41
1906094636,0.92,-0.25,0.13,1.00,-0.07,-0.37
1906104703,1.01,-0.23,0.16,0.88,0.07,-0.41
1906114644,1.03,-0.24,0.16,0.78,0.25,-0.61
1906124642,1.05,-0.23,0.10,0.76,0.34,-0.71
1906134726,1.12,-0.16,0.12,0.85,0.36,-0.71
1906144642,1.16,-0.07,0.05,0.89,0.38,-0.69
1906154638,1.11,0.02,0.04,0.95,0.32,-0.59
1906164679,1.10,0.07,-0.07,1.07,0.33,-0.41
1906174641,1.20,0.11,-0.11,1.07,0.33,-0.41
1906184742,1.32,0.12,-0.04,1.05,0.14,-0.28
1906196645,1.34,0.03,0.03,0.97,-0.04,-0.43
1906206639,1.48,-0.09,-0.03,0.89,0.06,-0.43
1906216641,1.36,-0.10,0.07,0.85,0.19,-0.55
1906226640,1.19,-0.09,0.04,0.89,0.20,-0.57
1906236712,1.07,-0.04,-0.07,0.90,0.23,-0.60
1906246640,1.02,0.00,-0.09,0.90,0.23,-0.60
1906256713,0.98,0.00,-0.01,0.88,0.20,-0.59
1906266682,0.96,-0.08,0.05,0.89,0.05,-0.57
1906276640,0.96,-0.13,0.08,0.88,-0.04,-0.68
1906286730,0.95,-0.14,0.11,0.86,-0.14,-0.69
1906296640,0.94,-0.07,0.05,0.87,-0.24,-0.63
1906306680,0.96,0.03,0.03,0.87,-0.26,-0.61
1906316648,1.00,0.08,0.04,0.89,-0.19,-0.60
1906326646,1.07,0.11,0.04,0.91,-0.09,-0.55
