timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1854480702,1.23,-0.63,-0.26,1.88,-0.53,-0.53
1854490642,1.18,-0.66,-0.14,1.84,-0.52,-0.57
1854500640,1.12,-0.71,-0.04,1.77,-0.44,-0.52
1854510718,1.12,-0.72,0.02,1.64,-0.29,-0.47
1854520639,1.05,-0.69,0.09,1.31,-0.15,-0.39
1854530645,0.97,-0.62,0.07,1.00,0.04,-0.26
1854540643,0.90,-0.57,0.12,0.86,0.21,-0.23
1854550644,0.91,-0.56,0.10,0.81,0.45,-0.05
1854560752,0.93,-0.48,0.10,0.79,0.54,0.06
1854570647,0.94,-0.39,0.07,0.83,0.59,0.10
1854580638,0.92,-0.34,0.02,0.77,0.67,0.21
1854590640,0.97,-0.30,-0.03,0.55,0.78,0.47
1854600639,1.07,-0.30,-0.06,0.55,0.75,0.35
1854610719,1.18,-0.34,-0.05,0.43,0.90,0.41
1854620638,1.23,-0.38,-0.11,0.43,0.90,0.41
1854630638,1.23,-0.39,-0.16,0.28,0.84,0.32
1854640638,1.19,-0.34,-0.22,0.23,0.81,0.23
1854650640,1.12,-0.28,-0.25,0.21,0.80,0.17
1854660751,1.02,-0.26,-0.26,0.16,0.71,-0.06
1854670648,0.94,-0.26,-0.25,-0.14,0.67,-0.01
1854682640,0.89,-0.29,-0.17,-0.27,0.52,-0.17
1854692642,0.86,-0.31,-0.11,-0.27,0.52,-0.17
1854702641,0.85,-0.34,-0.04,-0.28,0.52,-0.17
1854712638,0.81,-0.34,-0.03,-0.32,0.46,-0.12
1854722642,0.77,-0.34,-0.03,-0.36,0.39,-0.02
1854732640,0.76,-0.37,-0.05,-0.34,0.31,0.07
1854742707,0.80,-0.34,-0.11,-0.30,0.25,0.14
1854752664,0.86,-0.32,-0.16,-0.26,0.20,0.19
1854762665,0.90,-0.31,-0.18,-0.22,0.16,0.18
1854772646,0.95,-0.36,-0.12,-0.20,0.12,0.14
1854782638,0.98,-0.41,-0.12,-0.13,-0.03,0.05
1854792661,1.01,-0.41,-0.14,-0.09,-0.16,0.01
1854802640,1.06,-0.40,-0.19,0.01,-0.20,-0.01
1854812641,1.09,-0.41,-0.21,0.93,1.20,0.65
1854822638,1.08,-0.45,-0.16,1.74,3.10,2.12
1854832637,1.00,-0.50,-0.10,2.12,2.71,1.30
1854842698,0.91,-0.56,-0.05,2.74,0.85,1.06
1854852641,0.88,-0.56,-0.07,0.87,-1.06,-1.09
1854862657,0.89,-0.55,-0.07,0.90,-1.16,-1.01
1854872641,0.93,-0.53,-0.06,0.93,0.05,-0.69
1854884739,1.03,-0.52,-0.09,1.15,0.19,-0.66
1854894672,1.12,-0.50,-0.05,2.16,-0.18,-1.03
1854904639,1.21,-0.51,-0.05,2.22,0.32,-0.96
1854914641,1.32,-0.50,-0.03,1.67,0.05,-0.81
1854924638,1.44,-0.49,-0.05,1.50,0.11,-0.55
1854934724,1.48,-0.48,-0.05,1.63,0.14,-0.40
1854944705,1.48,-0.41,-0.05,1.50,-0.02,-0.20
1854954668,1.47,-0.36,-0.02,1.33,0.06,-0.07
1854964664,1.44,-0.38,0.02,1.19,0.01,-0.02
1854974638,1.37,-0.41,0.08,1.02,-0.12,0.04
1854984741,1.27,-0.41,0.12,0.99,-0.19,-0.01
1854994678,1.19,-0.40,0.09,1.08,-0.23,-0.14
1855004639,1.19,-0.40,0.09,1.09,-0.11,-0.31
1855014644,1.04,-0.39,0.16,1.10,0.17,-0.52
1855024638,0.99,-0.49,0.21,1.05,0.28,-0.59
1855034723,0.99,-0.52,0.23,0.87,0.14,-0.54
1855044640,1.09,-0.36,0.11,0.97,-0.00,-0.22
1855054639,1.10,-0.04,-0.09,0.88,-0.21,-0.03
1855064694,0.90,0.09,-0.07,0.99,-0.22,-0.17
1855074657,0.79,0.05,-0.01,0.94,-0.02,-0.69
1855086751,1.01,0.02,-0.01,0.92,0.32,-0.84
1855096641,1.09,-0.10,0.10,0.98,0.50,-0.61
1855106642,1.00,-0.14,0.09,0.98,0.41,-0.59
