timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
654031817,0.86,-0.55,0.07,0.84,0.55,0.13
654041833,0.88,-0.54,0.07,0.84,0.54,0.14
654051753,0.90,-0.53,0.06,0.84,0.54,0.14
654061747,0.89,-0.54,0.07,0.84,0.54,0.14
654071752,0.91,-0.52,0.07,0.84,0.55,0.15
654081750,0.93,-0.53,0.05,0.84,0.54,0.14
654091843,0.96,-0.50,0.04,0.84,0.53,0.14
654101748,0.98,-0.48,0.03,0.84,0.54,0.14
654111749,0.90,-0.53,0.09,0.83,0.55,0.14
654121759,0.84,-0.55,0.09,0.83,0.55,0.14
654131756,0.86,-0.54,0.09,0.83,0.56,0.14
654141831,0.86,-0.49,0.07,0.83,0.56,0.14
654151750,0.87,-0.48,0.09,0.83,0.55,0.14
654161747,0.86,-0.50,0.09,0.82,0.57,0.14
654171753,0.84,-0.52,0.11,0.81,0.57,0.15
654181753,0.83,-0.50,0.11,0.81,0.58,0.15
654191862,0.84,-0.49,0.10,0.81,0.58,0.15
654201750,0.85,-0.49,0.10,0.80,0.58,0.15
654211753,0.84,-0.49,0.08,0.81,0.58,0.14
654221757,0.83,-0.50,0.11,0.82,0.58,0.14
654233755,0.84,-0.52,0.13,0.82,0.59,0.14
654243752,0.85,-0.52,0.13,0.81,0.59,0.14
654253754,0.85,-0.51,0.12,0.80,0.59,0.14
654263749,0.86,-0.51,0.13,0.81,0.59,0.15
654273753,0.86,-0.51,0.12,0.81,0.59,0.14
654283748,0.86,-0.52,0.11,0.81,0.60,0.15
654293821,0.86,-0.52,0.12,0.81,0.59,0.15
654303777,0.86,-0.52,0.12,0.81,0.59,0.15
654313751,0.86,-0.54,0.12,0.81,0.59,0.15
654323769,0.85,-0.54,0.11,0.82,0.58,0.15
654333753,0.86,-0.54,0.11,0.82,0.58,0.15
654343752,0.84,-0.55,0.11,0.82,0.58,0.15
654353797,0.85,-0.54,0.11,0.82,0.58,0.15
654363750,0.85,-0.56,0.12,0.82,0.58,0.15
654373755,0.85,-0.56,0.10,0.82,0.57,0.15
654383751,0.85,-0.57,0.09,0.82,0.57,0.14
654393762,0.85,-0.57,0.09,0.82,0.57,0.14
654403752,0.86,-0.57,0.10,0.82,0.57,0.15
654413791,0.85,-0.56,0.09,0.82,0.57,0.14
654423779,0.86,-0.55,0.08,0.82,0.57,0.15
654435754,0.86,-0.54,0.08,0.82,0.57,0.15
654445752,0.86,-0.53,0.07,0.82,0.57,0.14
654455751,0.86,-0.53,0.07,0.82,0.57,0.15
654465837,0.86,-0.52,0.07,0.82,0.57,0.14
654475752,0.86,-0.52,0.05,0.82,0.57,0.15
654485748,0.87,-0.52,0.08,0.82,0.57,0.15
654495827,0.87,-0.52,0.08,0.82,0.57,0.14
654505781,0.86,-0.52,0.08,0.82,0.57,0.14
654515868,0.87,-0.51,0.06,0.82,0.57,0.14
654525781,0.87,-0.51,0.08,0.82,0.57,0.15
654535756,0.86,-0.51,0.08,0.82,0.57,0.14
654545829,0.88,-0.51,0.09,0.82,0.57,0.15
654555753,0.88,-0.50,0.10,0.82,0.57,0.15
654565865,0.88,-0.50,0.09,0.82,0.57,0.14
654575750,0.89,-0.51,0.09,0.82,0.57,0.14
654585756,0.89,-0.51,0.10,0.82,0.57,0.14
654595762,0.89,-0.50,0.09,0.82,0.57,0.15
654605751,0.89,-0.49,0.09,0.82,0.57,0.15
654615829,0.88,-0.50,0.08,0.82,0.57,0.15
654625753,0.88,-0.50,0.09,0.82,0.57,0.15
654637777,0.87,-0.49,0.08,0.82,0.56,0.14
654647779,0.87,-0.50,0.08,0.82,0.56,0.15
654657753,0.88,-0.49,0.09,0.82,0.57,0.14
654667750,0.86,-0.49,0.08,0.82,0.57,0.14
654677750,0.88,-0.49,0.09,0.82,0.57,0.14
654687751,0.88,-0.48,0.09,0.83,0.57,0.14
654697822,0.89,-0.49,0.09,0.83,0.57,0.14
654707776,0.90,-0.50,0.09,0.83,0.57,0.13
654717752,0.89,-0.50,0.08,0.84,0.57,0.14
654727747,0.89,-0.50,0.09,0.83,0.57,0.13
654737767,0.91,-0.52,0.08,0.83,0.57,0.14
654747747,0.91,-0.51,0.07,0.83,0.56,0.14
654757750,0.91,-0.54,0.08,0.84,0.55,0.13
654767806,0.91,-0.54,0.09,0.84,0.55,0.13
654777749,0.91,-0.54,0.07,0.83,0.56,0.14
654787752,0.90,-0.53,0.07,0.84,0.55,0.14
654797762,0.89,-0.53,0.06,0.83,0.55,0.14
654807751,0.89,-0.53,0.06,0.84,0.55,0.14
654817748,0.89,-0.53,0.06,0.84,0.55,0.14
654827780,0.89,-0.52,0.06,0.83,0.56,0.14
654839867,0.86,-0.51,0.06,0.82,0.57,0.14
654849751,0.86,-0.50,0.05,0.82,0.57,0.14
654859753,0.86,-0.50,0.06,0.82,0.57,0.15
654869747,0.85,-0.51,0.05,0.82,0.57,0.15
654879751,0.85,-0.51,0.06,0.82,0.57,0.14
654889837,0.85,-0.51,0.06,0.82,0.57,0.14
654899819,0.84,-0.51,0.07,0.81,0.57,0.14
654909772,0.86,-0.50,0.09,0.82,0.58,0.15
654919749,0.87,-0.50,0.08,0.81,0.59,0.14
654929746,0.87,-0.50,0.09,0.81,0.58,0.14
654939853,0.88,-0.50,0.09,0.82,0.58,0.14
654949762,0.88,-0.50,0.10,0.82,0.58,0.14
654959796,0.88,-0.51,0.09,0.82,0.58,0.14
654969757,0.88,-0.50,0.12,0.82,0.58,0.15
654979745,0.88,-0.51,0.11,0.81,0.58,0.15
654989841,0.88,-0.51,0.11,0.82,0.58,0.14
654999766,0.88,-0.51,0.11,0.82,0.58,0.14
655009742,0.88,-0.51,0.09,0.82,0.57,0.14
655019786,0.88,-0.51,0.10,0.83,0.57,0.14
655029741,0.88,-0.52,0.10,0.82,0.57,0.14
655041785,0.88,-0.53,0.09,0.82,0.57,0.14
655051742,0.87,-0.51,0.09,0.82,0.57,0.14
655061741,0.87,-0.51,0.07,0.82,0.57,0.14
655071747,0.87,-0.51,0.09,0.82,0.57,0.15
655081738,0.88,-0.51,0.08,0.82,0.57,0.14
655091747,0.87,-0.50,0.07,0.82,0.57,0.14
655101835,0.87,-0.50,0.08,0.82,0.57,0.14
655111782,0.88,-0.50,0.08,0.82,0.57,0.14
655121745,0.88,-0.50,0.07,0.82,0.57,0.14
655131745,0.88,-0.50,0.08,0.82,0.57,0.14
655141777,0.88,-0.49,0.07,0.81,0.58,0.14
655151792,0.87,-0.49,0.06,0.82,0.57,0.14
655161744,0.88,-0.50,0.09,0.82,0.58,0.14
655171744,0.87,-0.50,0.09,0.82,0.57,0.14
655181744,0.87,-0.50,0.08,0.82,0.57,0.14
655191748,0.87,-0.50,0.07,0.82,0.58,0.15
655201751,0.88,-0.50,0.07,0.82,0.57,0.14
655211747,0.87,-0.50,0.08,0.82,0.58,0.14
655221776,0.87,-0.50,0.08,0.82,0.58,0.15
655231747,0.87,-0.50,0.08,0.82,0.57,0.14
655243779,0.88,-0.50,0.10,0.81,0.58,0.16
655253749,0.87,-0.50,0.09,0.81,0.58,0.15
655263740,0.88,-0.50,0.09,0.81,0.58,0.15
655273747,0.88,-0.50,0.09,0.82,0.58,0.14
655283740,0.88,-0.49,0.08,0.82,0.58,0.14
655293749,0.87,-0.49,0.08,0.81,0.59,0.15
655303824,0.88,-0.50,0.09,0.81,0.59,0.14
655313774,0.87,-0.50,0.07,0.82,0.58,0.14
655323743,0.88,-0.50,0.08,0.83,0.57,0.13
655333745,0.86,-0.50,0.08,0.82,0.57,0.13
655343748,0.87,-0.52,0.08,0.82,0.57,0.13
655353792,0.88,-0.51,0.08,0.82,0.58,0.14
655363747,0.88,-0.51,0.07,0.82,0.57,0.14
655373744,0.88,-0.51,0.07,0.82,0.57,0.14
655383744,0.89,-0.50,0.07,0.84,0.56,0.14
