timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1307012535,2.33,-1.65,1.11,1.04,0.68,0.32
1307022474,2.23,-1.59,1.11,1.16,0.70,0.36
1307032464,2.18,-1.59,1.22,1.20,0.74,0.41
1307042550,2.07,-1.37,1.15,1.30,0.75,0.47
1307052464,1.99,-1.41,1.29,1.50,0.76,0.48
1307062465,1.94,-1.56,1.28,1.86,0.68,0.38
1307072463,1.75,-1.57,1.09,2.29,0.45,0.12
1307082465,1.41,-1.48,0.76,2.29,0.45,0.12
1307092575,1.07,-1.24,0.55,2.73,0.16,-0.29
1307102466,0.82,-0.75,0.20,3.09,-0.25,-0.89
1307112466,0.56,-0.39,0.04,2.84,-0.62,-1.41
1307122471,0.26,-0.23,-0.07,2.20,-0.75,-1.52
1307132465,0.02,-0.14,-0.07,1.75,-0.55,-1.31
1307142549,-0.22,-0.09,-0.02,1.51,-0.14,-0.93
1307152464,-0.38,-0.04,0.01,1.22,-0.02,-0.62
1307162481,-0.43,0.00,0.09,1.27,1.09,-0.05
1307172470,-0.27,-0.03,0.11,1.36,2.18,-0.07
1307182469,-0.25,-0.08,0.12,0.80,2.75,0.24
1307192577,-0.25,-0.01,0.07,0.79,1.95,0.32
1307202470,-0.32,0.05,0.04,0.65,0.61,-0.21
1307214468,-0.44,0.06,0.00,0.30,-0.34,-0.24
1307224464,-0.39,0.12,-0.04,-0.01,-0.80,-0.11
1307234467,-0.24,0.06,-0.03,-0.12,-0.90,0.01
1307244543,-0.35,0.46,-0.27,-0.02,-0.89,0.12
1307254462,-0.43,0.76,-0.30,0.04,-0.67,0.06
1307264466,-0.40,0.59,-0.22,0.07,-0.42,-0.01
1307274541,-0.35,0.37,-0.14,0.07,-0.32,0.01
1307284495,-0.26,0.29,-0.05,0.12,-0.34,0.08
1307294583,-0.18,0.21,-0.04,0.15,-0.31,0.09
1307304461,-0.16,0.19,-0.12,0.14,-0.29,0.07
1307314466,-0.16,0.19,-0.15,0.18,-0.31,0.07
1307324463,-0.19,0.19,-0.20,0.17,-0.37,0.04
1307334463,-0.19,0.19,-0.19,0.08,-0.39,0.00
1307344540,-0.13,0.24,-0.28,-0.02,-0.36,-0.05
1307354509,-0.16,0.24,-0.24,-0.12,-0.30,-0.11
1307364466,-0.13,0.21,-0.22,-0.15,-0.26,-0.13
1307374465,-0.08,0.19,-0.25,-0.15,-0.23,-0.16
1307384466,-0.09,0.16,-0.23,-0.18,-0.21,-0.20
1307394577,-0.09,0.16,-0.23,-0.16,-0.15,-0.24
1307404470,-0.16,0.09,-0.21,-0.10,-0.11,-0.26
1307416468,-0.12,0.14,-0.24,-0.04,-0.07,-0.28
