timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
2073485664,0.16,-0.70,1.15,-0.24,1.34,0.01
2073495678,0.05,-0.40,0.95,0.07,1.14,-0.07
2073505591,-0.07,-0.21,0.77,0.28,0.91,-0.09
2073515595,-0.21,-0.16,0.62,0.31,0.62,-0.01
2073525613,-0.31,-0.18,0.55,0.25,0.33,0.00
2073535589,-0.39,-0.38,0.70,0.15,-0.04,-0.04
2073545700,-0.41,-0.44,0.70,0.00,-0.37,0.00
2073555587,-0.35,-0.50,0.84,0.00,-0.37,0.00
2073565590,-0.39,-0.51,1.02,0.03,-0.50,-0.04
2073575596,-0.45,-0.55,0.98,0.28,0.10,0.28
2073585589,-0.34,-0.62,0.90,0.12,2.18,0.55
2073595662,-0.28,-0.55,0.80,1.09,2.46,0.00
2073605592,-0.36,-0.31,0.66,2.43,-2.90,-1.30
2073615591,-0.42,-0.22,0.66,4.00,-3.17,-2.12
2073625608,-0.26,-0.51,0.82,3.44,0.96,-2.11
2073635588,-0.02,-0.80,0.86,0.36,-0.39,-0.48
2073645703,0.19,-0.83,0.76,0.64,-1.25,-0.92
2073655591,0.19,-0.83,0.76,2.14,-1.09,-0.74
2073665589,0.21,-0.67,0.77,2.48,-1.18,-0.34
2073675590,0.13,-0.45,0.77,2.43,-1.10,0.08
2073687590,0.51,-0.79,0.71,2.26,-0.91,-0.20
2073697590,0.83,-1.03,0.87,2.36,-0.95,-0.49
2073707594,1.13,-1.18,0.90,2.39,-0.67,-0.38
2073717596,1.33,-1.25,0.70,2.50,-0.45,-0.35
2073727600,1.33,-1.25,0.70,2.34,-0.52,-0.44
2073737592,1.39,-1.25,0.55,2.23,-0.93,-0.29
2073747666,1.37,-0.98,0.47,2.14,-1.15,-0.21
2073757631,1.21,-0.57,0.42,2.05,-1.23,-0.34
2073767587,0.93,-0.21,0.44,1.65,-1.00,-0.45
2073777603,0.70,0.03,0.46,0.89,-0.22,-0.48
2073787590,0.59,0.13,0.56,0.55,0.98,-0.40
2073797639,0.62,-0.04,0.62,0.31,1.44,-0.28
2073807595,0.65,-0.35,0.65,0.03,1.47,-0.17
2073817594,0.66,-0.60,0.64,-0.07,1.43,-0.45
