timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1491934739,0.75,-0.32,0.25,0.25,0.01,0.16
1491944640,0.77,-0.39,0.26,0.29,-0.15,0.13
1491954660,0.79,-0.45,0.30,0.35,-0.27,0.09
1491964663,0.79,-0.45,0.30,0.76,0.17,0.38
1491974638,0.83,-0.47,0.33,1.53,1.78,1.32
1491984724,0.85,-0.45,0.32,1.79,1.45,1.05
1491994639,0.85,-0.41,0.31,1.52,-0.46,-0.52
1492004642,0.84,-0.36,0.28,1.46,-1.03,-1.05
1492014644,0.83,-0.32,0.28,1.10,-0.50,-1.37
1492024639,0.86,-0.32,0.29,1.16,-0.05,-1.78
1492034723,0.92,-0.33,0.30,1.56,0.08,-2.16
1492044641,1.00,-0.36,0.30,2.01,0.62,-2.34
1492054647,1.07,-0.37,0.29,3.27,0.19,-0.04
1492064661,1.13,-0.40,0.26,3.05,-0.13,1.21
1492074639,1.18,-0.40,0.25,1.56,-0.02,-0.22
1492084723,1.25,-0.38,0.25,0.70,0.01,-1.17
1492094640,1.27,-0.34,0.23,0.89,-0.17,-0.26
1492104638,1.22,-0.29,0.21,0.39,-0.51,0.20
1492114638,1.08,-0.25,0.24,0.22,-0.73,-0.42
1492124642,0.91,-0.21,0.28,0.53,-0.54,-0.86
1492136751,0.81,-0.21,0.29,0.50,-0.14,-1.06
1492146639,0.81,-0.21,0.27,0.46,0.13,-1.17
1492156645,0.87,-0.23,0.27,0.83,0.17,-0.91
1492166648,0.91,-0.25,0.28,1.34,0.02,-0.50
1492176641,1.02,-0.28,0.27,1.62,-0.11,-0.40
1492186717,1.12,-0.27,0.21,1.32,-0.04,-0.50
1492196705,1.26,-0.18,0.15,0.88,-0.11,-0.49
1492206665,1.25,-0.10,0.11,0.70,-0.24,-0.48
1492216640,1.20,-0.03,0.08,0.77,-0.24,-0.52
1492226640,1.20,0.01,0.05,0.88,-0.12,-0.54
1492236716,1.18,0.01,0.11,0.91,0.06,-0.57
1492246640,1.13,-0.08,0.18,0.93,0.21,-0.65
1492256642,1.13,-0.18,0.20,0.93,0.21,-0.65
1492266636,1.18,-0.24,0.23,0.95,0.30,-0.70
1492276637,1.24,-0.27,0.21,0.95,0.36,-0.77
1492286710,1.24,-0.27,0.19,0.90,0.30,-0.74
1492296636,1.24,-0.24,0.16,0.89,0.17,-0.68
1492306640,1.24,-0.20,0.12,0.90,0.05,-0.60
1492316638,1.22,-0.13,0.09,0.92,0.01,-0.54
1492326638,1.17,-0.07,0.05,0.91,0.02,-0.50
1492338654,1.07,-0.04,0.04,0.93,0.02,-0.48
1492348642,0.98,-0.01,0.02,0.93,0.00,-0.46
1492358638,0.91,0.00,0.03,0.92,-0.03,-0.48
1492368650,0.86,0.01,0.03,0.89,-0.04,-0.46
1492378640,0.81,0.02,0.02,0.88,-0.05,-0.47
1492388638,0.77,0.02,0.01,0.87,-0.01,-0.48
1492398709,0.74,0.02,-0.01,0.89,0.01,-0.47
1492408665,0.72,0.03,-0.02,0.91,0.01,-0.46
1492418669,0.72,0.03,-0.04,0.93,0.01,-0.45
1492428641,0.74,0.01,-0.02,0.94,0.05,-0.46
1492438641,0.77,-0.03,-0.02,0.94,0.06,-0.47
1492448641,0.82,-0.05,0.01,0.93,0.06,-0.48
1492458642,0.85,-0.10,0.04,0.94,0.06,-0.50
1492468692,0.88,-0.14,0.08,0.94,0.05,-0.48
1492478648,0.92,-0.18,0.10,0.95,0.00,-0.48
1492488637,0.96,-0.20,0.14,0.97,-0.03,-0.47
1492498640,0.99,-0.22,0.16,1.00,-0.07,-0.46
1492508640,0.99,-0.22,0.16,1.00,-0.12,-0.49
1492518653,1.02,-0.23,0.17,0.97,-0.11,-0.50
1492528676,1.04,-0.23,0.19,1.00,-0.00,-0.52
1492540654,1.13,-0.22,0.18,1.04,0.04,-0.53
1492550639,1.20,-0.20,0.16,1.05,0.10,-0.55
1492560750,1.30,-0.23,0.11,1.06,0.19,-0.52
1492570671,1.38,-0.23,0.12,1.06,0.25,-0.50
1492580638,1.43,-0.19,0.08,1.11,0.32,-0.51
1492590640,1.43,-0.19,0.08,1.19,0.35,-0.46
1492600708,1.41,-0.16,0.07,1.25,0.20,-0.55
1492610756,1.36,-0.12,0.04,1.29,0.09,-0.67
1492620639,1.30,-0.07,0.05,1.52,-0.01,-0.49
1492630639,1.20,-0.05,0.07,1.92,-0.18,-0.39
1492640636,1.12,-0.06,0.12,2.03,-0.27,-0.39
1492650642,1.03,-0.06,0.17,1.75,-0.34,-0.39
1492660755,0.96,-0.12,0.23,1.52,-0.41,-0.48
1492670641,0.94,-0.19,0.28,1.53,-0.36,-0.48
1492680640,0.93,-0.24,0.32,1.47,-0.23,-0.43
1492690641,0.89,-0.29,0.38,1.28,-0.09,-0.36
1492700641,0.86,-0.32,0.39,0.93,0.11,-0.25
1492710716,0.86,-0.34,0.40,0.75,0.36,-0.16
1492720638,0.82,-0.34,0.38,0.67,0.50,-0.08
1492730669,0.80,-0.36,0.34,0.61,0.51,0.02
1492742648,0.87,-0.34,0.31,0.57,0.50,0.16
1492752640,0.98,-0.30,0.30,0.58,0.51,0.36
1492762645,1.07,-0.27,0.29,0.57,0.55,0.59
1492772631,1.15,-0.23,0.29,0.45,0.71,0.57
1492782640,1.20,-0.19,0.28,0.27,0.62,0.31
1492792639,1.23,-0.19,0.26,0.25,0.56,0.11
1492802706,1.22,-0.21,0.27,0.25,0.51,0.03
1492812673,1.17,-0.24,0.26,0.25,0.51,0.03
1492822635,1.11,-0.24,0.27,0.21,0.54,-0.03
1492832634,1.06,-0.25,0.26,0.18,0.62,-0.12
1492842636,1.03,-0.27,0.27,0.18,0.66,-0.18
