timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
537691910,0.74,-0.38,0.01,0.78,0.70,-0.08
537701749,0.75,-0.42,0.02,0.77,0.72,-0.12
537711751,0.75,-0.43,0.03,0.77,0.69,-0.15
537721748,0.77,-0.45,0.04,0.76,0.65,-0.16
537731750,0.78,-0.47,0.04,0.76,0.65,-0.15
537741831,0.80,-0.48,0.04,0.76,0.64,-0.18
537751751,0.80,-0.48,0.04,0.77,0.66,-0.20
537761750,0.84,-0.49,0.04,0.77,0.66,-0.20
537771751,0.86,-0.49,0.05,0.76,0.68,-0.20
537781749,0.87,-0.51,0.05,0.76,0.67,-0.18
537791861,0.89,-0.53,0.07,0.75,0.69,-0.18
537801749,0.91,-0.56,0.07,0.75,0.75,-0.21
537811748,0.94,-0.55,0.08,0.74,0.82,-0.20
537821748,0.99,-0.56,0.09,0.71,0.86,-0.14
537831751,1.05,-0.55,0.09,0.69,0.89,-0.08
537841831,1.07,-0.55,0.08,0.70,0.87,-0.11
537851751,1.08,-0.56,0.05,0.75,0.86,-0.15
537861749,1.13,-0.57,0.05,0.75,0.81,-0.18
537871749,1.15,-0.58,0.06,0.75,0.80,-0.18
537881747,1.18,-0.57,0.06,0.70,0.80,-0.20
537893770,1.21,-0.58,0.06,0.70,0.80,-0.21
537903751,1.21,-0.57,0.06,0.71,0.80,-0.21
537913751,1.18,-0.57,0.06,0.73,0.80,-0.20
537923750,1.15,-0.55,0.06,0.73,0.80,-0.20
537933751,1.16,-0.54,0.05,0.73,0.81,-0.18
537943756,1.16,-0.54,0.05,0.74,0.82,-0.18
537953826,1.14,-0.52,0.05,0.74,0.82,-0.18
537963778,1.09,-0.53,0.07,0.75,0.84,-0.18
537973759,1.08,-0.53,0.08,0.75,0.83,-0.17
537983751,1.09,-0.54,0.11,0.74,0.82,-0.17
537993753,1.08,-0.52,0.11,0.77,0.78,-0.18
538003762,1.05,-0.52,0.11,0.76,0.75,-0.19
538013792,1.01,-0.50,0.12,0.79,0.77,-0.16
538023754,1.00,-0.48,0.11,0.79,0.77,-0.13
538033748,0.98,-0.47,0.10,0.75,0.73,-0.10
538043756,0.95,-0.44,0.09,0.75,0.72,-0.09
538053749,0.91,-0.37,0.09,0.75,0.73,-0.09
538063751,0.93,-0.20,0.02,0.73,0.71,-0.07
538073774,0.83,-0.28,0.09,0.71,0.67,-0.05
538083786,0.76,-0.33,0.11,0.71,0.63,-0.05
538095775,0.74,-0.30,0.09,0.75,0.61,-0.04
538105761,0.74,-0.27,0.06,0.75,0.58,-0.04
538115847,0.71,-0.25,0.06,0.75,0.57,-0.04
538125752,0.67,-0.25,0.06,0.74,0.55,-0.04
538135753,0.63,-0.27,0.07,0.75,0.56,-0.02
538145752,0.62,-0.27,0.07,0.79,0.57,0.00
538155817,0.61,-0.27,0.07,0.81,0.58,0.01
538165873,0.59,-0.27,0.05,0.82,0.55,0.01
538175750,0.60,-0.25,0.04,0.86,0.50,0.02
538185746,0.62,-0.23,0.00,0.87,0.51,0.02
538195752,0.65,-0.23,0.00,0.85,0.52,0.01
538205804,0.70,-0.25,0.01,0.84,0.51,0.03
538215865,0.74,-0.29,-0.00,0.83,0.54,0.06
