timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
2671242519,0.55,-0.24,0.49,0.98,0.11,-0.38
2671252447,0.57,-0.19,0.46,0.97,0.13,-0.36
2671262524,0.57,-0.14,0.43,0.95,0.16,-0.36
2671272458,0.58,-0.07,0.40,0.95,0.16,-0.35
2671282452,0.60,-0.02,0.36,0.95,0.13,-0.34
2671292449,0.60,0.01,0.34,0.92,0.12,-0.36
2671302447,0.63,0.02,0.34,0.93,0.12,-0.37
2671312515,0.69,0.00,0.35,0.94,0.11,-0.36
2671322445,0.77,-0.09,0.35,0.95,0.15,-0.36
2671332449,0.80,-0.17,0.35,0.95,0.16,-0.34
2671342448,0.84,-0.19,0.30,0.93,0.18,-0.34
2671352447,0.88,-0.16,0.25,0.93,0.19,-0.33
2671362521,0.94,-0.11,0.20,0.93,0.16,-0.33
2671372454,1.04,-0.02,0.11,0.91,0.18,-0.33
2671382451,1.12,0.07,0.07,0.91,0.17,-0.34
2671392449,1.18,0.20,0.02,0.91,0.16,-0.37
2671402448,1.21,0.28,-0.01,0.94,0.16,-0.37
2671412518,1.23,0.30,-0.02,0.98,0.16,-0.38
2671422448,1.26,0.25,-0.05,1.04,0.07,-0.38
2671432448,1.32,0.19,-0.03,1.01,0.01,-0.41
2671444451,1.43,0.12,-0.03,1.00,-0.02,-0.41
2671454450,1.48,0.06,-0.03,1.01,-0.00,-0.40
2671464450,1.49,-0.00,0.00,1.01,-0.03,-0.39
2671474455,1.50,-0.06,0.01,1.02,-0.04,-0.41
2671484453,1.52,-0.09,0.02,1.01,-0.05,-0.45
2671494448,1.54,-0.12,0.05,0.99,-0.07,-0.48
2671504511,1.54,-0.18,0.11,0.99,-0.08,-0.50
2671514485,1.57,-0.29,0.17,1.00,-0.16,-0.51
2671524450,1.60,-0.40,0.21,1.01,-0.23,-0.51
2671534448,1.57,-0.48,0.18,1.04,-0.30,-0.52
2671544449,1.46,-0.48,0.10,1.04,-0.30,-0.52
2671554503,1.32,-0.41,-0.04,1.12,-0.26,-0.45
2671564458,1.17,-0.35,-0.17,1.18,-0.19,-0.38
2671574464,0.99,-0.35,-0.25,1.18,-0.05,-0.30
2671584457,0.81,-0.40,-0.27,1.15,0.13,-0.23
2671594451,0.81,-0.40,-0.27,1.07,0.21,-0.27
2671604448,0.65,-0.50,-0.27,1.07,0.29,-0.24
2671614451,0.51,-0.66,-0.21,0.93,0.36,-0.20
2671624480,0.39,-0.86,-0.12,0.79,0.43,-0.26
2671634449,0.30,-1.02,-0.05,0.67,0.46,-0.30
2671646456,0.17,-0.99,0.05,0.60,0.46,-0.30
2671656450,0.11,-0.86,0.06,0.55,0.48,-0.30
2671666449,0.11,-0.86,0.06,0.52,0.44,-0.32
2671676457,0.03,-0.69,0.03,0.46,0.43,-0.32
2671686562,-0.00,-0.54,0.03,0.34,0.47,-0.32
2671696454,-0.03,-0.41,0.02,0.27,0.54,-0.34
2671706505,-0.01,-0.31,-0.01,0.35,0.54,-0.32
2671716480,0.05,-0.26,-0.05,0.69,0.43,-0.40
2671726448,0.16,-0.24,-0.09,1.21,0.22,-0.43
2671736527,0.23,-0.22,-0.12,1.79,0.05,-0.30
2671746453,0.29,-0.27,-0.10,1.76,0.01,-0.34
2671756490,0.33,-0.32,-0.07,1.36,0.26,-0.46
2671766449,0.39,-0.38,-0.04,1.17,0.56,-0.50
2671776476,0.46,-0.40,0.01,0.86,0.62,-0.23
2671786562,0.55,-0.35,0.05,0.65,0.52,-0.17
2671796449,0.69,-0.29,0.09,0.41,0.46,-0.05
2671806449,0.87,-0.24,0.16,0.53,0.59,-0.04
2671816479,1.09,-0.18,0.20,0.81,0.63,-0.10
2671826448,1.34,-0.13,0.24,0.95,0.65,-0.25
2671836560,1.54,-0.12,0.25,1.07,0.66,-0.34
2671848452,1.67,-0.11,0.28,1.03,0.58,-0.36
2671858451,1.74,-0.12,0.34,0.90,0.50,-0.31
2671868451,2.00,-0.21,0.54,0.83,0.59,-0.19
2671878482,2.50,-0.40,0.80,0.94,0.61,-0.17
