timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
3291860657,-0.37,-0.27,0.02,1.50,1.50,-0.23
3291870614,-0.52,-0.12,-0.03,1.42,1.50,-0.25
3291880592,-0.59,-0.07,-0.02,1.12,1.62,-0.03
3291890587,-0.48,-0.16,-0.01,1.40,3.58,0.54
3291900603,-0.42,-0.34,0.06,2.47,4.00,0.46
3291910591,-0.37,-0.55,0.07,3.52,3.34,1.35
3291920613,-0.25,-0.74,0.04,-0.45,-4.00,-0.92
3291930590,-0.17,-0.93,0.16,1.93,-0.48,-0.15
3291940591,-0.26,-1.03,0.08,2.32,-0.21,0.86
3291950591,-0.22,-1.08,0.08,1.88,-0.54,-0.77
3291960597,-0.14,-1.36,0.16,2.21,-0.10,-0.62
3291970608,-0.11,-1.90,0.24,2.96,0.25,0.24
3291980593,0.09,-2.59,0.49,1.64,0.48,0.41
3291990589,0.53,-3.10,0.79,0.50,0.88,-0.24
3292000605,0.53,-3.10,0.79,0.12,1.38,-0.36
3292010587,1.05,-3.37,0.93,0.27,1.11,0.25
3292020617,1.56,-3.51,1.03,0.86,0.88,0.12
3292030589,1.97,-3.62,1.12,1.35,1.02,-0.23
3292040589,2.21,-3.67,1.17,1.23,1.39,-0.36
3292050590,2.31,-3.46,1.19,0.93,1.18,-0.31
3292062590,1.99,-2.57,1.07,1.01,0.94,-0.33
3292072616,1.99,-2.57,1.07,1.06,0.88,-0.34
3292082591,1.78,-2.20,1.02,1.05,0.95,-0.37
3292092592,1.57,-1.93,1.01,1.01,0.93,-0.38
3292102601,1.28,-1.63,0.91,0.99,0.80,-0.43
3292112588,1.20,-1.36,0.84,1.12,0.55,-0.54
3292122684,1.11,-1.07,0.75,1.61,0.21,-0.61
3292132616,1.01,-0.82,0.62,2.14,-0.34,-0.48
3292142589,0.88,-0.70,0.45,1.92,-0.21,-0.97
3292152589,0.74,-0.64,0.46,2.02,1.08,-1.41
3292162593,0.78,-0.51,0.28,2.44,3.35,-0.57
3292172672,0.71,-0.18,0.12,2.03,3.29,0.27
3292182588,0.73,0.09,0.02,0.93,1.29,0.53
3292192590,0.77,0.25,-0.06,0.95,-0.91,-0.01
3292202621,0.76,0.31,-0.10,1.39,-1.29,1.09
3292212589,0.78,0.32,-0.17,0.87,-0.72,1.55
3292222683,0.81,0.46,-0.26,0.79,0.01,1.11
3292232591,0.92,0.58,-0.27,0.79,0.01,1.11
3292242627,0.78,0.61,-0.32,1.33,0.29,0.41
3292252594,0.71,0.65,-0.36,1.66,-0.15,-0.25
3292264596,0.85,0.68,-0.49,2.50,-0.62,-0.07
3292274606,0.71,0.68,-0.35,2.35,-1.02,0.14
3292284592,0.43,0.45,-0.28,1.94,-1.00,-0.18
3292294590,0.40,0.19,-0.09,1.88,-0.77,-0.46
3292304627,0.77,0.06,-0.01,1.88,-0.77,-0.46
3292314595,0.78,0.24,0.09,2.07,-0.63,-0.77
3292324666,0.71,0.12,0.14,1.96,-0.64,-0.86
3292334620,0.67,-0.07,0.20,1.70,-0.63,-0.66
3292344592,0.65,-0.16,0.19,1.48,-0.83,-0.86
3292354592,0.58,-0.18,0.20,1.22,-0.69,-1.07
3292364596,0.57,-0.22,0.20,1.11,-0.41,-1.22
3292374605,0.61,-0.16,0.21,1.12,-0.13,-1.20
3292384665,0.55,-0.09,0.25,1.23,0.18,-1.19
3292394596,0.37,-0.31,0.37,1.04,0.32,-0.93
3292404594,0.18,-0.73,0.49,0.94,0.21,-0.80
3292414604,0.00,-1.09,0.71,0.88,0.19,-0.84
3292424600,0.02,-1.50,0.95,0.87,0.25,-0.95
3292434589,0.31,-1.90,0.99,0.89,0.25,-0.91
3292444627,0.41,-2.01,1.00,0.59,0.25,-0.70
3292454596,0.01,-1.91,1.07,0.27,0.35,-0.66
3292466596,-0.21,-1.87,1.23,-0.09,0.44,-0.54
3292476600,-0.17,-1.99,1.28,-0.38,0.51,-0.43
3292486591,-0.05,-2.02,1.34,-0.41,0.56,-0.54
3292496677,0.06,-1.84,1.26,-0.73,0.50,-0.34
3292506592,0.14,-1.45,1.09,-0.85,0.40,-0.21
3292516602,0.31,-1.11,0.96,-0.88,0.16,-0.11
3292526669,0.50,-0.96,0.83,-0.68,0.00,-0.16
3292536623,0.84,-1.09,0.98,-0.47,-0.17,-0.23
3292546689,1.00,-1.25,1.06,-0.21,-0.30,-0.32
3292556589,1.20,-1.35,0.97,0.01,-0.24,-0.34
3292566593,1.21,-1.16,0.82,0.28,-0.32,-0.42
3292576607,1.21,-1.16,0.82,0.53,-0.36,-0.48
3292586594,1.05,-0.84,0.58,0.70,-0.33,-0.50
3292596704,0.85,-0.56,0.36,0.73,-0.38,-0.29
3292606589,0.66,-0.48,0.19,0.52,-0.65,-0.12
3292616618,0.48,-0.54,0.12,0.59,-0.88,-0.18
3292626600,0.29,-0.58,0.14,0.99,-0.80,-0.32
3292636592,0.11,-0.56,0.20,1.41,-0.56,-0.34
3292646669,-0.01,-0.56,0.24,1.61,-0.41,-0.55
3292656619,-0.10,-0.56,0.27,1.93,-0.36,-0.53
3292668595,-0.20,-0.51,0.31,2.27,-0.46,-0.39
3292678608,-0.26,-0.47,0.31,2.04,-0.68,-0.07
3292688593,-0.18,-0.48,0.29,1.73,-0.06,0.12
3292698592,-0.07,-0.39,0.27,1.80,0.57,-0.05
3292708592,-0.11,-0.34,0.18,1.71,0.77,-0.08
3292718590,-0.15,-0.39,0.11,1.45,1.25,-0.23
3292728658,-0.07,-0.44,0.04,1.05,1.73,-0.30
3292738610,0.01,-0.47,0.05,0.82,2.22,-0.10
3292748585,0.04,-0.48,0.08,1.68,4.00,0.98
3292758582,0.03,-0.44,0.12,3.29,4.00,0.93
3292768593,0.02,-0.49,0.19,0.23,-2.00,-1.68
3292778611,0.04,-0.60,0.27,-0.70,-1.83,-0.96
3292788589,0.07,-0.66,0.31,-0.70,-1.83,-0.96
3292798637,0.09,-0.77,0.35,3.18,1.11,-1.80
3292808587,0.12,-0.95,0.45,0.91,-0.14,0.11
3292818586,0.15,-1.24,0.55,0.97,0.69,-1.18
3292828603,0.23,-1.54,0.61,1.67,0.33,0.04
3292838587,0.39,-1.77,0.69,3.80,-0.69,0.77
3292848588,0.71,-1.96,0.75,3.47,0.30,0.42
3292858620,1.20,-2.25,0.79,0.88,1.11,0.36
3292870615,1.80,-2.61,0.93,0.21,1.34,0.29
3292880589,2.32,-3.09,1.08,0.44,1.08,0.57
3292890586,2.69,-3.14,1.11,0.81,1.21,-0.00
3292900584,2.75,-2.80,0.96,0.94,1.32,-0.34
3292910583,2.47,-2.48,0.80,1.16,1.19,-0.60
3292920607,2.12,-2.20,0.70,1.15,1.10,-0.52
3292930647,1.83,-1.84,0.60,1.18,1.07,-0.72
3292940613,1.57,-1.56,0.54,1.03,0.95,-0.88
3292950588,1.38,-1.36,0.48,0.95,0.78,-0.86
3292960586,1.14,-1.14,0.42,1.38,0.15,-0.80
3292970603,0.89,-0.92,0.39,1.96,-0.42,-0.94
3292980585,0.67,-0.69,0.35,2.42,0.80,-1.40
3292990586,0.47,-0.48,0.33,2.95,3.01,-1.37
3293000636,0.34,-0.23,0.24,2.55,4.00,0.29
3293010586,0.25,0.00,0.13,1.14,2.00,1.57
3293020607,0.23,0.12,0.07,-0.04,-0.20,-0.02
3293030600,0.34,0.15,0.06,0.97,-2.08,0.21
3293040583,0.57,0.08,0.11,1.07,-1.57,0.95
3293050620,0.74,0.16,0.05,0.67,-0.86,1.61
3293060602,0.77,0.36,-0.08,0.95,0.17,1.00
3293072619,0.71,0.42,-0.14,1.30,0.23,0.36
3293082585,0.64,0.28,-0.14,1.31,-0.13,-0.04
3293092581,0.65,0.11,-0.16,1.57,-0.22,-0.45
3293102587,0.68,0.02,-0.16,1.64,0.15,-0.78
3293112583,0.65,0.02,-0.16,1.45,0.31,-0.59
3293122600,0.61,0.04,-0.18,1.33,-0.05,-0.09
3293132663,0.57,0.05,-0.17,1.16,-0.46,0.00
3293142614,0.55,0.02,-0.18,1.14,-0.46,-0.16
3293152586,0.58,0.11,-0.20,1.35,-0.49,-0.20
3293162585,0.58,0.11,-0.20,1.52,-0.48,-0.36
3293172586,0.60,0.12,-0.15,1.67,-0.61,-0.64
3293182591,0.70,0.04,-0.09,1.68,-0.55,-0.81
3293192643,0.73,-0.08,0.02,1.75,-0.40,-0.92
3293202589,0.79,-0.18,0.10,1.75,-0.27,-0.93
3293212589,0.84,-0.22,0.17,1.73,-0.07,-0.93
3293222592,0.80,-0.16,0.21,1.71,0.16,-0.92
3293232597,0.66,-0.21,0.23,1.73,0.33,-0.93
3293242584,0.40,-0.40,0.22,1.74,0.32,-0.84
3293252586,0.07,-0.80,0.32,1.84,0.39,-0.90
3293262583,-0.14,-1.20,0.51,1.74,0.27,-0.89
3293274631,-0.08,-1.52,0.77,1.46,0.14,-0.83
3293284588,-0.03,-1.96,1.04,1.18,0.12,-0.82
3293294584,-0.25,-2.14,1.18,0.82,0.11,-0.64
3293304584,-0.57,-1.86,1.34,0.54,0.14,-0.54
3293314587,-0.61,-1.80,1.37,0.25,0.21,-0.51
3293324615,-0.59,-1.66,1.25,0.02,0.31,-0.50
3293334672,-0.33,-1.43,1.14,-0.16,0.30,-0.44
3293344612,0.05,-1.30,0.82,-0.16,0.30,-0.44
3293354586,0.20,-1.03,0.69,-0.25,0.20,-0.43
3293364586,0.32,-0.75,0.65,-0.20,0.07,-0.40
3293374587,0.49,-0.62,0.75,-0.00,-0.02,-0.41
3293384591,0.71,-0.58,0.79,0.18,-0.01,-0.42
3293394635,0.91,-0.62,0.83,0.29,-0.06,-0.45
3293404589,0.98,-0.75,0.71,0.38,-0.12,-0.45
3293414588,0.93,-0.67,0.49,0.45,-0.17,-0.43
3293424585,0.76,-0.43,0.26,0.46,-0.25,-0.39
3293434587,0.56,-0.14,0.13,0.57,-0.42,-0.34
3293444625,0.40,-0.14,0.14,0.43,-0.39,-0.20
3293454584,0.27,-0.32,0.25,0.39,-0.52,-0.19
3293464613,0.25,-0.58,0.35,0.80,-0.80,-0.30
3293476589,0.29,-0.73,0.41,1.14,-0.50,-0.46
3293486586,0.29,-0.73,0.40,1.54,-0.12,-0.57
3293496685,0.25,-0.64,0.30,1.64,-0.17,-0.51
3293506588,0.18,-0.52,0.21,1.94,0.16,-0.53
3293516585,0.08,-0.45,0.15,1.84,0.32,0.01
3293526586,-0.03,-0.45,0.11,1.46,0.73,0.33
3293536669,-0.07,-0.47,0.12,1.14,0.77,0.14
3293546704,-0.09,-0.50,0.16,0.99,1.02,-0.17
3293556582,-0.04,-0.56,0.19,0.94,1.35,-0.30
3293566580,-0.01,-0.59,0.21,0.91,1.67,-0.06
3293576589,-0.14,-0.64,0.23,0.89,1.76,0.10
