timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1602981703,0.92,-0.19,0.04,1.43,-0.28,-0.19
1602991651,0.95,-0.19,0.03,1.05,0.02,-0.71
1603001642,0.98,-0.20,0.05,0.86,0.16,-0.54
1603011717,0.98,-0.24,0.08,0.61,0.45,-0.23
1603021641,0.98,-0.27,0.10,0.39,0.27,-0.68
1603031635,0.96,-0.26,0.11,0.74,0.36,-0.61
1603041639,0.91,-0.22,0.11,1.05,0.23,-0.41
1603051639,0.88,-0.22,0.09,1.12,0.00,-0.51
1603061716,0.86,-0.19,0.09,1.08,-0.04,-0.66
1603071649,0.85,-0.15,0.06,0.94,0.03,-0.75
1603081642,0.85,-0.11,0.01,0.81,0.08,-0.79
1603091651,0.89,-0.08,-0.03,0.73,0.08,-0.81
1603101639,0.96,-0.05,-0.08,0.83,0.14,-0.67
1603111723,1.05,-0.05,-0.12,0.98,0.07,-0.59
1603121639,1.16,-0.04,-0.12,1.05,-0.04,-0.58
1603131639,1.29,-0.02,-0.14,1.02,-0.10,-0.62
1603141646,1.46,0.00,-0.12,0.95,-0.08,-0.68
1603151640,1.61,-0.04,-0.07,0.90,-0.08,-0.70
1603161755,1.67,-0.12,-0.00,0.90,-0.09,-0.70
1603171637,1.67,-0.20,0.06,0.91,-0.07,-0.66
1603183640,1.61,-0.26,0.12,0.93,-0.04,-0.63
1603193645,1.52,-0.29,0.14,0.94,-0.04,-0.62
1603203640,1.43,-0.28,0.13,0.92,-0.01,-0.59
1603213642,1.31,-0.27,0.11,0.89,0.00,-0.56
1603223640,1.21,-0.23,0.07,0.89,0.00,-0.56
1603233640,1.12,-0.19,0.04,0.89,0.01,-0.53
1603243705,1.04,-0.16,0.04,0.90,0.03,-0.50
1603253664,1.01,-0.14,0.03,0.90,0.05,-0.49
1603263676,0.97,-0.14,0.02,0.91,0.07,-0.48
1603273640,0.93,-0.16,0.01,0.91,0.08,-0.48
1603283638,0.93,-0.15,0.03,0.91,0.08,-0.48
1603293650,0.93,-0.14,0.02,0.93,0.06,-0.47
1603303637,0.96,-0.12,0.02,0.94,0.07,-0.46
1603313648,0.97,-0.09,0.03,0.95,0.05,-0.47
1603323691,0.98,-0.06,0.02,0.96,0.02,-0.47
1603333642,0.98,-0.06,0.02,0.98,-0.04,-0.43
1603343646,0.99,-0.04,0.02,0.99,-0.10,-0.38
1603353645,0.98,-0.03,0.02,1.00,-0.12,-0.38
1603363651,1.01,-0.01,0.02,1.00,-0.06,-0.45
1603373647,1.05,-0.04,0.00,0.97,0.02,-0.49
1603385753,1.17,-0.11,0.02,0.98,0.06,-0.51
1603395647,1.22,-0.15,0.02,1.00,0.09,-0.53
1603405657,1.22,-0.15,0.02,1.05,0.11,-0.54
1603415641,1.25,-0.19,0.04,1.11,0.14,-0.55
1603425641,1.27,-0.21,0.07,1.14,0.13,-0.54
1603435725,1.30,-0.20,0.06,1.16,0.15,-0.47
1603445712,1.32,-0.22,0.04,1.25,0.10,-0.49
1603455661,1.32,-0.21,0.03,1.34,0.00,-0.59
1603465649,1.30,-0.21,0.01,1.59,-0.08,-0.45
1603475661,1.25,-0.19,0.02,1.94,-0.10,-0.26
1603485730,1.23,-0.18,0.03,2.00,-0.19,-0.40
1603495646,1.18,-0.21,0.07,1.84,-0.30,-0.46
1603505681,1.13,-0.25,0.11,1.66,-0.48,-0.65
1603515638,1.08,-0.26,0.16,1.52,-0.44,-0.62
1603525647,1.02,-0.27,0.20,1.35,-0.23,-0.48
1603535726,0.95,-0.26,0.21,1.15,0.02,-0.36
1603545638,0.88,-0.26,0.25,0.99,0.30,-0.26
1603555680,0.80,-0.24,0.26,0.78,0.36,-0.11
1603565641,0.75,-0.24,0.26,0.77,0.48,-0.12
1603575654,0.76,-0.26,0.28,0.71,0.62,-0.06
1603587640,0.82,-0.30,0.30,0.70,0.59,0.06
1603597641,0.91,-0.33,0.34,0.71,0.60,0.20
1603607640,1.01,-0.37,0.38,0.57,0.81,0.35
1603617640,1.10,-0.39,0.40,0.43,0.90,0.36
1603627638,1.16,-0.36,0.40,0.34,0.88,0.20
1603637641,1.18,-0.33,0.37,0.33,0.84,0.13
1603647709,1.15,-0.27,0.34,0.23,0.87,0.11
1603657664,1.11,-0.23,0.29,0.30,0.69,-0.18
1603667640,1.03,-0.16,0.25,0.15,0.71,-0.05
1603677658,0.97,-0.14,0.23,0.14,0.72,-0.08
1603687648,0.96,-0.14,0.21,0.11,0.70,-0.06
1603697640,0.95,-0.15,0.21,0.09,0.63,-0.06
1603707635,0.95,-0.16,0.23,0.05,0.57,0.00
1603717637,0.96,-0.17,0.23,0.05,0.50,0.01
1603727702,0.95,-0.18,0.24,-0.08,0.45,0.16
1603737647,0.95,-0.17,0.25,-0.07,0.41,0.15
