timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
788954364,0.89,-0.38,0.08,0.83,0.59,0.03
788964292,0.91,-0.36,0.08,0.84,0.59,0.03
788974290,0.90,-0.38,0.09,0.84,0.59,0.04
788984292,0.89,-0.37,0.08,0.84,0.60,0.04
788994289,0.89,-0.36,0.08,0.83,0.60,0.04
789004291,0.89,-0.36,0.09,0.83,0.60,0.04
789014290,0.89,-0.33,0.08,0.83,0.60,0.04
789024293,0.90,-0.31,0.07,0.83,0.60,0.04
789034292,0.91,-0.29,0.06,0.83,0.59,0.04
789044296,0.92,-0.32,0.07,0.83,0.60,0.04
789054299,0.88,-0.33,0.07,0.83,0.60,0.05
789064293,0.92,-0.22,0.02,0.82,0.60,0.05
789074296,1.18,0.05,-0.09,0.82,0.60,0.05
789084294,0.95,-0.23,0.02,0.82,0.61,0.07
789094293,0.84,-0.25,0.04,0.82,0.60,0.07
789104295,0.91,-0.25,0.04,0.82,0.60,0.07
789114291,0.96,-0.21,0.01,0.82,0.60,0.07
789124292,0.97,-0.21,0.02,0.82,0.60,0.07
789134294,1.00,-0.25,0.01,0.81,0.61,0.07
789144296,0.94,-0.20,-0.02,0.81,0.62,0.09
789156303,0.98,-0.27,0.00,0.80,0.62,0.09
789166301,1.00,-0.24,-0.02,0.81,0.61,0.09
789176296,0.98,-0.24,-0.05,0.81,0.60,0.09
789186290,0.97,-0.23,-0.04,0.82,0.61,0.08
789196379,0.98,-0.16,-0.07,0.82,0.60,0.10
789206293,0.99,-0.17,-0.10,0.79,0.63,0.09
789216349,1.05,-0.14,-0.12,0.79,0.61,0.10
789226329,1.05,-0.14,-0.12,0.81,0.61,0.10
789236299,1.04,-0.21,-0.09,0.81,0.61,0.09
789246404,1.07,-0.17,-0.12,0.80,0.61,0.10
789256292,1.06,-0.23,-0.11,0.80,0.61,0.11
789266329,1.09,-0.21,-0.10,0.80,0.62,0.11
789276296,1.07,-0.27,-0.11,0.80,0.63,0.11
789286292,1.07,-0.27,-0.12,0.80,0.63,0.11
789296388,1.12,-0.26,-0.14,0.80,0.62,0.11
789306290,1.10,-0.32,-0.12,0.79,0.63,0.12
789316293,1.07,-0.37,-0.10,0.79,0.62,0.12
789326322,1.07,-0.37,-0.10,0.79,0.62,0.11
789336297,1.04,-0.44,-0.09,0.79,0.62,0.11
789346412,1.01,-0.41,-0.07,0.79,0.62,0.12
789358304,1.05,-0.42,-0.08,0.79,0.62,0.11
789368292,1.06,-0.41,-0.10,0.80,0.62,0.11
789378293,1.03,-0.40,-0.10,0.81,0.62,0.11
789388294,1.03,-0.41,-0.09,0.80,0.62,0.12
789398295,1.02,-0.39,-0.11,0.80,0.62,0.14
789408294,1.02,-0.37,-0.13,0.79,0.64,0.14
789418362,1.01,-0.36,-0.14,0.79,0.62,0.14
789428318,0.99,-0.30,-0.16,0.81,0.59,0.13
789438297,1.02,-0.34,-0.17,0.80,0.59,0.13
789448293,1.04,-0.45,-0.11,0.77,0.61,0.12
789458293,1.02,-0.51,-0.06,0.82,0.61,0.10
789468289,1.01,-0.47,-0.04,0.81,0.58,0.14
789478348,1.06,-0.45,-0.12,0.86,0.61,0.15
789488291,1.07,-0.34,-0.11,0.76,0.63,0.15
789498290,1.08,-0.30,-0.09,0.76,0.58,0.16
789508293,1.04,-0.43,-0.02,0.76,0.59,0.18
789518290,0.97,-0.30,-0.10,0.79,0.59,0.18
789528324,0.89,-0.29,-0.10,0.80,0.61,0.15
789538296,0.98,-0.28,-0.10,0.79,0.59,0.17
789548306,1.00,-0.27,0.03,0.80,0.65,0.07
789560310,1.00,-0.41,0.04,1.04,0.41,-0.09
789570397,0.89,-0.16,-0.15,0.71,0.73,0.18
789580295,0.93,-0.29,-0.11,0.62,0.51,0.30
789590291,1.09,-0.31,-0.06,0.80,0.67,0.13
789600291,1.00,-0.26,-0.07,0.75,0.69,0.18
789610292,0.98,-0.34,-0.05,0.79,0.60,0.18
789620411,1.03,-0.21,-0.12,0.79,0.69,0.12
789630323,1.06,-0.26,-0.12,0.74,0.62,0.19
789640292,1.08,-0.29,-0.09,0.79,0.61,0.15
789650295,1.06,-0.27,-0.09,0.77,0.64,0.14
789660302,1.04,-0.23,-0.15,0.72,0.61,0.19
789670395,1.05,-0.07,-0.21,0.61,0.64,0.23
789680342,1.04,-0.07,-0.20,0.64,0.72,0.31
789690293,1.02,-0.22,-0.12,0.75,0.56,0.16
789700291,1.06,-0.27,-0.14,0.87,0.59,0.10
789710294,1.02,-0.21,-0.19,0.88,0.73,0.08
789720377,1.02,-0.21,-0.19,0.88,0.72,0.02
789730297,1.06,-0.20,-0.21,0.72,0.68,0.16
789740294,1.04,-0.24,-0.18,0.69,0.63,0.20
789750332,1.00,-0.28,-0.15,0.74,0.64,0.15
789762317,1.02,-0.35,-0.09,0.77,0.65,0.13
789772406,1.02,-0.38,-0.08,0.79,0.68,0.14
789782294,0.98,-0.35,-0.08,0.76,0.67,0.16
789792292,0.98,-0.35,-0.08,0.74,0.66,0.15
789802292,0.99,-0.32,-0.10,0.70,0.69,0.15
789812290,0.98,-0.33,-0.09,0.69,0.70,0.15
789822462,0.98,-0.34,-0.10,0.74,0.68,0.15
789832304,0.99,-0.33,-0.10,0.77,0.69,0.14
789842309,1.00,-0.34,-0.09,0.77,0.69,0.14
789852292,1.00,-0.34,-0.10,0.77,0.68,0.12
789862310,1.00,-0.32,-0.09,0.76,0.67,0.14
789872295,1.00,-0.31,-0.09,0.76,0.68,0.14
789882334,1.01,-0.31,-0.09,0.74,0.69,0.14
789892281,1.02,-0.31,-0.08,0.73,0.68,0.14
789902290,1.03,-0.31,-0.07,0.73,0.69,0.14
789912284,1.03,-0.31,-0.05,0.74,0.69,0.14
789922313,1.02,-0.32,-0.04,0.74,0.70,0.13
789932288,1.04,-0.29,-0.04,0.72,0.71,0.18
789942296,0.99,-0.36,0.01,0.76,0.70,0.10
789952324,1.02,-0.25,-0.01,0.63,0.70,0.20
789964303,1.02,-0.28,0.03,0.75,0.71,0.19
789974287,1.07,-0.26,0.00,0.71,0.75,0.16
789984288,1.00,-0.19,0.09,0.75,0.70,0.18
789994281,1.04,-0.09,0.13,0.71,0.71,0.14
790004284,1.06,-0.02,0.18,0.70,0.74,0.16
790014285,1.05,0.01,0.21,0.70,0.71,0.16
790024360,1.07,0.06,0.19,0.70,0.72,0.17
790034310,1.09,0.11,0.13,0.71,0.72,0.15
790044287,1.11,0.15,0.06,0.70,0.71,0.16
790054291,1.13,0.09,0.03,0.73,0.71,0.16
790064307,1.09,0.05,0.02,0.71,0.71,0.16
790074295,1.09,0.01,0.01,0.71,0.72,0.16
790084332,1.06,-0.04,0.01,0.73,0.71,0.15
790094284,1.05,-0.07,0.00,0.74,0.70,0.16
790104290,1.06,-0.10,0.00,0.72,0.71,0.16
790114287,1.04,-0.11,-0.03,0.72,0.70,0.16
790124288,1.03,-0.11,-0.04,0.71,0.70,0.17
790134291,1.02,-0.13,-0.04,0.71,0.70,0.17
790144320,1.02,-0.15,-0.05,0.71,0.69,0.17
790154289,1.03,-0.13,-0.07,0.72,0.69,0.17
790166319,1.02,-0.13,-0.07,0.73,0.68,0.17
790176289,1.02,-0.12,-0.08,0.73,0.68,0.17
790186286,1.00,-0.12,-0.08,0.73,0.68,0.18
790196295,1.00,-0.11,-0.08,0.73,0.68,0.17
790206285,1.00,-0.11,-0.07,0.73,0.68,0.18
790216286,1.00,-0.11,-0.07,0.74,0.68,0.17
790226349,1.00,-0.11,-0.06,0.74,0.68,0.16
790236313,0.99,-0.11,-0.05,0.74,0.68,0.17
790246314,0.98,-0.12,-0.04,0.73,0.68,0.16
790256283,0.96,-0.13,-0.05,0.73,0.67,0.17
790266288,1.00,-0.11,-0.05,0.74,0.68,0.18
790276340,1.00,-0.14,-0.01,0.73,0.68,0.17
790286283,1.00,-0.14,-0.01,0.72,0.67,0.18
790296303,1.00,-0.13,-0.01,0.73,0.68,0.17
790306286,0.99,-0.12,-0.01,0.73,0.68,0.17
790316289,1.00,-0.11,0.00,0.73,0.68,0.17
790326286,1.02,-0.10,0.01,0.75,0.67,0.16
790336289,1.02,-0.08,0.04,0.75,0.67,0.17
790346324,1.01,-0.07,0.05,0.75,0.68,0.18
790356286,1.02,-0.06,0.05,0.73,0.68,0.18
790368290,1.02,-0.05,0.05,0.73,0.69,0.18
790378300,1.03,-0.04,0.09,0.73,0.68,0.18
790388284,1.04,-0.01,0.11,0.73,0.68,0.18
790398287,1.04,-0.00,0.08,0.72,0.68,0.18
790408283,1.05,-0.01,0.09,0.73,0.68,0.18
790418289,1.05,-0.03,0.09,0.73,0.69,0.17
790428354,1.04,-0.03,0.09,0.74,0.68,0.18
790438319,1.04,-0.08,0.07,0.74,0.69,0.18
790448298,1.03,-0.10,0.06,0.74,0.68,0.17
790458283,1.03,-0.14,0.05,0.73,0.69,0.17
790468286,1.02,-0.15,0.05,0.73,0.69,0.18
790478336,1.02,-0.18,0.05,0.73,0.68,0.17
790488281,1.01,-0.17,0.03,0.73,0.68,0.18
790498286,1.01,-0.17,0.01,0.73,0.68,0.17
790508288,1.01,-0.17,0.00,0.73,0.69,0.18
790518288,1.00,-0.17,-0.01,0.73,0.69,0.17
790528283,1.00,-0.17,-0.02,0.74,0.68,0.18
790538316,1.00,-0.18,0.00,0.73,0.68,0.16
790548292,1.01,-0.17,-0.01,0.74,0.68,0.17
790558291,1.01,-0.18,0.00,0.74,0.68,0.16
790570390,0.99,-0.18,0.00,0.73,0.68,0.17
790580301,1.00,-0.18,-0.01,0.74,0.68,0.17
790590279,1.00,-0.18,0.00,0.73,0.68,0.17
790600287,1.00,-0.20,0.02,0.73,0.68,0.17
790610280,1.00,-0.19,0.03,0.74,0.69,0.18
790620381,1.01,-0.19,0.04,0.74,0.69,0.18
790630349,1.01,-0.19,0.05,0.74,0.68,0.17
790640316,1.01,-0.19,0.06,0.73,0.68,0.18
790650293,1.01,-0.18,0.07,0.74,0.68,0.18
790660283,1.03,-0.18,0.07,0.73,0.68,0.17
790670311,1.02,-0.17,0.07,0.73,0.68,0.17
790680296,1.02,-0.17,0.06,0.73,0.68,0.17
790690334,1.02,-0.16,0.07,0.74,0.68,0.18
790700285,1.02,-0.16,0.06,0.74,0.68,0.17
790710284,1.03,-0.15,0.05,0.73,0.68,0.17
790720299,1.02,-0.14,0.04,0.73,0.68,0.17
790730286,1.03,-0.15,0.04,0.73,0.68,0.18
790740292,1.02,-0.15,0.05,0.74,0.68,0.17
790750291,1.02,-0.15,0.02,0.74,0.68,0.17
790760320,1.01,-0.15,0.03,0.74,0.68,0.17
790772318,1.01,-0.15,0.02,0.73,0.68,0.16
790782304,1.00,-0.14,0.02,0.74,0.68,0.17
790792289,1.01,-0.15,0.01,0.74,0.68,0.17
790802290,1.01,-0.15,0.01,0.74,0.68,0.17
790812286,1.01,-0.14,0.01,0.74,0.68,0.17
790822290,1.01,-0.16,0.01,0.74,0.68,0.16
790832351,1.01,-0.15,0.01,0.74,0.68,0.16
790842315,1.01,-0.15,0.01,0.74,0.68,0.17
790852295,1.02,-0.16,0.02,0.74,0.68,0.17
790862289,1.01,-0.15,0.02,0.74,0.68,0.17
790872290,1.02,-0.16,0.03,0.74,0.68,0.16
790882336,1.02,-0.16,0.03,0.74,0.68,0.17
790892296,1.01,-0.15,0.03,0.74,0.68,0.17
790902289,1.01,-0.16,0.03,0.75,0.68,0.17
790912292,1.01,-0.16,0.03,0.74,0.68,0.17
790922311,1.02,-0.16,0.02,0.74,0.68,0.17
790932288,1.02,-0.15,0.02,0.74,0.68,0.17
790942293,1.02,-0.16,0.03,0.74,0.68,0.16
790952322,1.02,-0.17,0.03,0.74,0.68,0.17
790962287,1.03,-0.16,0.04,0.74,0.67,0.17
790974295,1.02,-0.17,0.04,0.74,0.68,0.16
790984289,1.02,-0.16,0.02,0.75,0.68,0.17
790994298,1.02,-0.16,0.03,0.74,0.68,0.17
791004287,1.02,-0.17,0.02,0.74,0.68,0.17
791014278,1.02,-0.15,0.03,0.74,0.68,0.17
791024294,1.02,-0.15,0.02,0.74,0.68,0.17
791034348,1.02,-0.15,0.02,0.75,0.67,0.18
791044318,1.02,-0.14,0.02,0.74,0.68,0.16
791054298,1.03,-0.15,0.02,0.74,0.68,0.17
791064285,1.02,-0.15,0.02,0.74,0.67,0.18
791074285,1.02,-0.15,0.02,0.75,0.67,0.17
791084279,1.02,-0.16,0.01,0.74,0.67,0.17
791094342,1.03,-0.15,0.02,0.74,0.67,0.17
791104292,1.02,-0.16,0.02,0.75,0.67,0.17
791114287,1.01,-0.16,0.02,0.75,0.67,0.18
791124290,1.02,-0.16,0.03,0.75,0.68,0.17
791134288,1.03,-0.15,0.03,0.74,0.67,0.17
791144290,1.02,-0.16,0.02,0.75,0.67,0.17
791154317,1.03,-0.15,0.02,0.75,0.67,0.18
791164293,1.02,-0.16,0.01,0.75,0.66,0.18
791176300,1.02,-0.16,0.02,0.75,0.67,0.18
791186288,1.02,-0.16,0.02,0.75,0.66,0.18
791196322,1.02,-0.16,0.03,0.75,0.66,0.18
791206284,1.02,-0.16,0.02,0.75,0.66,0.18
791216287,1.02,-0.16,0.02,0.75,0.66,0.18
791226287,1.02,-0.16,0.02,0.75,0.66,0.18
791236352,1.02,-0.16,0.02,0.75,0.66,0.18
791246327,1.02,-0.16,0.01,0.75,0.66,0.18
791256289,1.02,-0.15,0.01,0.75,0.66,0.19
791266289,1.02,-0.16,0.01,0.75,0.66,0.18
791276288,1.02,-0.17,0.01,0.75,0.65,0.18
791286328,1.02,-0.16,0.02,0.75,0.64,0.18
791296327,1.02,-0.18,0.02,0.76,0.64,0.19
791306288,1.02,-0.17,0.02,0.76,0.64,0.19
791316286,1.01,-0.18,0.02,0.76,0.64,0.19
791326286,1.02,-0.17,0.02,0.76,0.64,0.19
791336289,1.02,-0.17,0.02,0.76,0.64,0.19
791346323,1.02,-0.16,0.02,0.76,0.64,0.19
791356296,1.02,-0.16,0.03,0.77,0.64,0.18
791366291,1.01,-0.18,0.02,0.75,0.64,0.20
791378305,1.03,-0.16,0.02,0.75,0.64,0.18
791388287,1.03,-0.15,0.03,0.75,0.64,0.20
791398304,1.02,-0.16,0.04,0.77,0.63,0.19
791408284,1.02,-0.16,0.04,0.77,0.63,0.19
