timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1692244599,0.73,-0.33,0.45,0.99,-0.02,-0.45
1692254463,0.75,-0.31,0.43,1.00,-0.01,-0.46
1692264465,0.74,-0.29,0.43,1.03,-0.01,-0.46
1692274482,0.72,-0.29,0.43,1.04,-0.04,-0.45
1692284464,0.71,-0.30,0.42,1.03,-0.05,-0.45
1692294542,0.70,-0.27,0.40,1.04,-0.02,-0.48
1692304469,0.70,-0.27,0.40,1.06,-0.05,-0.44
1692314481,0.66,-0.26,0.37,1.05,-0.04,-0.42
1692324479,0.62,-0.25,0.36,0.98,-0.03,-0.45
1692334465,0.56,-0.21,0.32,0.95,-0.07,-0.41
1692344539,0.51,-0.16,0.27,0.95,-0.10,-0.24
1692354463,0.46,-0.13,0.24,0.97,-0.10,-0.15
1692364467,0.43,-0.11,0.23,1.02,-0.10,-0.17
1692374476,0.39,-0.12,0.25,1.01,-0.05,-0.28
1692384467,0.35,-0.15,0.27,1.01,0.00,-0.46
1692394540,0.29,-0.18,0.27,1.00,0.08,-0.47
1692404469,0.27,-0.15,0.25,1.03,0.10,-0.34
1692414472,0.29,-0.16,0.25,1.14,0.12,-0.30
1692424487,0.29,-0.18,0.24,1.18,0.00,-0.08
1692434464,0.33,-0.16,0.24,1.23,0.04,0.04
1692446478,0.34,-0.19,0.30,1.12,-0.03,0.06
1692456463,0.36,-0.20,0.34,0.95,0.02,-0.04
1692466466,0.41,-0.18,0.34,0.80,0.27,-0.09
1692476468,0.51,-0.23,0.39,0.74,0.45,-0.12
1692486466,0.66,-0.34,0.57,0.55,0.36,-0.10
1692496465,0.86,-0.46,0.77,0.50,0.33,0.08
1692506540,1.13,-0.56,1.04,0.46,0.54,0.16
1692516490,1.52,-0.72,1.20,0.24,0.49,0.20
1692526468,1.97,-0.94,1.40,0.17,0.60,0.01
1692536467,2.44,-1.21,1.52,0.33,0.93,-0.02
1692546466,2.86,-1.41,1.67,0.62,0.99,0.01
1692556467,3.23,-1.63,1.78,0.88,0.92,0.17
1692566464,3.35,-1.69,1.75,1.19,0.71,0.39
1692576474,3.18,-1.75,1.68,1.40,0.62,0.55
1692586462,2.87,-1.79,1.68,1.36,0.64,0.48
1692596467,2.66,-1.76,1.75,1.19,0.77,0.41
1692606469,2.55,-1.67,1.56,1.02,0.82,0.39
1692616463,2.23,-1.57,1.48,1.00,0.81,0.45
1692626480,1.99,-1.39,1.41,1.24,0.74,0.48
1692636465,2.00,-1.16,1.09,1.24,0.74,0.48
1692648477,1.68,-0.61,0.80,2.09,0.48,0.14
1692658464,1.57,-0.46,0.54,2.57,0.22,-0.23
1692668552,1.19,-0.50,0.53,2.97,-0.16,-0.75
1692678475,0.75,-0.42,0.26,2.98,-0.59,-1.25
1692688502,0.37,-0.33,0.11,2.58,-0.94,-1.49
1692698466,-0.10,-0.16,-0.08,2.04,-0.79,-1.35
1692708512,-0.41,0.13,-0.21,2.04,-0.79,-1.35
1692718579,-0.48,0.33,-0.29,1.90,-0.29,-1.10
1692728484,-0.52,0.40,-0.30,1.24,0.29,-0.80
1692738463,-0.52,0.46,-0.37,1.80,1.41,-0.04
1692748512,-0.43,0.53,-0.39,1.08,2.23,-0.04
1692758466,-0.44,0.49,-0.35,0.71,2.75,0.59
1692768546,-0.38,0.32,-0.25,0.48,1.41,0.66
1692778465,-0.32,0.14,-0.26,0.53,0.08,0.14
1692788463,-0.18,-0.04,-0.27,0.30,-1.15,0.05
1692798469,-0.04,-0.07,-0.30,0.13,-1.17,0.55
1692808503,0.00,-0.02,-0.34,-0.11,-0.62,0.20
1692818574,0.00,-0.02,-0.34,-0.01,-0.41,0.07
1692828486,-0.00,0.04,-0.33,-0.02,-0.21,-0.05
1692838461,-0.02,0.10,-0.27,-0.07,-0.00,-0.16
1692850469,0.01,0.05,-0.14,0.02,0.05,-0.18
1692860465,0.08,-0.02,-0.08,-0.04,0.07,-0.14
1692870468,0.13,-0.07,-0.04,-0.04,0.04,-0.08
1692880463,0.12,-0.12,0.00,0.00,-0.04,-0.05
1692890463,0.12,-0.12,0.00,0.01,-0.15,-0.02
1692900468,0.14,-0.14,0.01,-0.01,-0.21,-0.03
1692910538,0.17,-0.11,0.04,-0.03,-0.17,-0.06
1692920509,0.19,-0.07,0.03,-0.07,-0.13,-0.10
1692930495,0.17,-0.02,0.02,-0.06,-0.08,-0.11
1692940463,0.16,0.02,-0.01,-0.04,-0.01,-0.14
1692950472,0.14,0.01,-0.01,-0.03,0.04,-0.16
1692960463,0.11,-0.00,-0.01,-0.02,0.04,-0.16
1692970465,0.10,0.01,-0.02,0.01,0.00,-0.12
1692980517,0.11,-0.00,-0.00,0.04,-0.04,-0.09
1692990466,0.09,0.00,-0.00,0.00,-0.07,-0.14
1693000471,0.06,0.00,-0.01,-0.05,-0.05,-0.24
1693010468,0.05,-0.02,0.01,-0.00,0.00,-0.28
1693020466,0.05,-0.02,0.01,0.00,0.11,-0.20
1693030489,0.07,-0.01,0.02,0.04,0.27,-0.08
