timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
1410076660,0.55,-0.05,0.81,1.66,-0.17,-0.36
1410086590,0.79,-0.22,0.75,1.56,-0.25,-0.38
1410096603,0.92,-0.44,0.71,1.50,-0.25,-0.38
1410106590,0.99,-0.54,0.57,1.39,-0.30,-0.29
1410116594,0.98,-0.55,0.48,1.17,-0.48,-0.27
1410126590,0.88,-0.54,0.38,0.97,-0.59,-0.24
1410136589,0.73,-0.54,0.36,0.90,-0.54,-0.18
1410146587,0.62,-0.53,0.34,0.89,-0.25,-0.18
1410156593,0.54,-0.49,0.34,0.87,0.04,-0.30
1410166590,0.41,-0.38,0.39,0.80,0.32,-0.48
1410176591,0.28,-0.27,0.39,0.79,0.55,-0.55
1410186589,0.20,-0.28,0.44,0.75,0.80,-0.51
1410196609,0.14,-0.35,0.48,0.63,0.94,-0.43
1410206588,0.12,-0.40,0.52,0.57,1.04,-0.51
1410216597,0.11,-0.39,0.62,0.59,0.91,-0.54
1410226588,0.14,-0.31,0.67,0.58,0.82,-0.45
1410236591,0.20,-0.23,0.73,0.56,0.72,-0.24
1410246589,0.27,-0.23,0.75,0.57,0.37,-0.06
1410256592,0.34,-0.27,0.71,0.57,0.37,-0.06
1410266591,0.45,-0.51,0.64,0.62,0.23,-0.12
1410278600,0.60,-0.91,0.67,0.54,0.16,0.01
1410288589,0.66,-1.05,0.72,0.32,0.23,0.07
1410298606,0.61,-1.16,0.73,0.10,0.35,0.10
1410308592,0.50,-1.32,0.72,-0.01,0.44,0.04
1410318689,0.43,-1.54,0.85,-0.01,0.44,0.04
1410328592,0.32,-1.68,1.04,-0.10,0.55,0.03
1410338656,0.27,-1.83,1.18,-0.11,0.70,0.05
1410348628,0.33,-1.99,1.25,-0.03,0.82,0.06
1410358589,0.27,-2.00,1.14,0.07,0.89,0.10
1410368673,0.10,-1.95,1.01,0.23,0.92,0.03
1410378590,-0.16,-1.83,0.89,0.46,0.87,-0.14
1410388590,-0.35,-1.70,0.78,0.67,0.82,-0.26
1410398590,-0.50,-1.44,0.70,0.95,0.77,-0.40
1410408595,-0.66,-1.18,0.64,1.19,0.73,-0.53
1410418678,-0.80,-0.97,0.57,1.20,0.72,-0.48
1410428587,-0.84,-0.80,0.52,1.08,0.65,-0.37
1410438591,-0.85,-0.71,0.50,0.81,0.49,-0.31
1410448592,-0.82,-0.77,0.54,0.59,0.12,-0.26
1410458587,-0.73,-0.94,0.57,0.46,0.27,-0.30
1410468711,-0.59,-1.01,0.52,0.28,0.55,-0.26
1410480596,-0.42,-0.92,0.40,0.25,0.49,-0.27
1410490591,-0.23,-0.79,0.24,0.27,0.81,-0.01
1410500624,0.03,-0.75,0.11,-0.57,2.57,-0.78
1410510591,0.26,-0.78,0.05,2.06,-1.24,1.29
1410520719,0.47,-0.86,0.01,0.56,-0.54,0.12
1410530621,0.69,-0.98,-0.05,2.52,-0.68,-0.68
