timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
801980658,0.14,-0.25,0.49,0.72,0.41,-0.21
801990596,0.15,-0.32,0.56,0.73,0.38,-0.23
802000602,0.21,-0.41,0.57,0.75,0.34,-0.25
802010590,0.25,-0.48,0.57,0.79,0.32,-0.27
802020670,0.29,-0.48,0.57,0.83,0.30,-0.30
802030592,0.31,-0.44,0.50,0.88,0.31,-0.32
802040597,0.30,-0.34,0.48,0.90,0.35,-0.34
802050596,0.32,-0.31,0.41,0.94,0.37,-0.37
802060587,0.27,-0.37,0.41,0.95,0.34,-0.39
802070666,0.38,-0.55,0.45,0.99,0.31,-0.42
802080587,0.46,-0.83,0.56,1.06,0.45,-0.38
802090590,0.55,-1.06,0.66,1.02,0.45,-0.53
802100589,0.61,-1.14,0.73,1.52,0.24,-0.45
802110592,0.58,-0.99,0.71,1.21,0.33,-0.21
802120686,0.51,-0.79,0.65,1.19,-0.13,-0.36
802130592,0.51,-0.62,0.58,1.16,-0.82,-0.31
802140594,0.54,-0.50,0.52,1.52,-1.07,-0.35
802150610,0.63,-0.46,0.48,1.70,-0.41,-0.36
802160589,0.63,-0.46,0.48,1.71,-0.12,-0.35
802170668,0.70,-0.53,0.41,1.36,0.04,-0.18
802182590,0.77,-0.96,0.45,1.05,0.32,-0.02
802192594,0.84,-1.18,0.50,0.96,0.32,-0.15
802202592,0.88,-1.29,0.52,0.87,0.44,-0.32
802212595,0.88,-1.29,0.50,0.77,0.40,-0.25
802222594,0.84,-1.23,0.44,0.71,0.25,-0.23
802232588,0.81,-1.15,0.39,0.72,0.04,-0.24
802242666,0.81,-1.15,0.39,0.77,-0.14,-0.29
802252650,0.77,-1.10,0.35,0.77,-0.14,-0.29
802262591,0.75,-1.10,0.31,0.91,-0.15,-0.32
802272586,0.69,-1.14,0.31,1.03,-0.15,-0.24
802282588,0.64,-1.16,0.29,1.05,-0.08,-0.32
802292639,0.58,-1.11,0.29,1.04,0.07,-0.46
802302591,0.54,-1.01,0.27,1.07,0.16,-0.43
802312594,0.51,-0.94,0.24,1.09,0.21,-0.39
802322598,0.50,-0.92,0.23,1.09,0.27,-0.39
802332590,0.52,-0.95,0.23,1.09,0.25,-0.36
802342588,0.57,-1.03,0.23,1.07,0.25,-0.36
802352632,0.61,-1.14,0.22,1.02,0.07,-0.36
802362593,0.64,-1.23,0.23,1.08,0.00,-0.45
802372588,0.66,-1.29,0.23,1.03,-0.07,-0.38
802384595,0.69,-1.27,0.22,1.08,-0.02,-0.47
802394700,0.69,-1.24,0.20,0.99,0.11,-0.37
802404593,0.67,-1.18,0.17,1.05,0.09,-0.46
802414591,0.70,-1.16,0.18,0.88,0.14,-0.29
